Start Time,End Time,Text
0.0,20.36,"Okay, so let's get started."
20.36,26.36,Today's lecture will be the last one we have on object-oriented programming and creating
26.36,30.04,our own data types with Python classes.
30.04,35.84,So in today's lecture we're going to go through an example that's sort of more involved.
35.84,40.96,We're going to be creating our own fitness tracker object and specifically we're going
40.96,46.16,to create a class for that implements the idea of a workout.
46.16,51.2,And the slides for today are going to feel very similar to the slides from Monday's lecture.
51.2,58.6,A lot of them are just kind of reinforcing the same ideas we saw last lecture on creating
58.6,63.64,"getters and setters, creating class variables and the idea of inheritance."
63.64,71.08,"But we're just going to do it in the context of this more involved example, the fitness tracker."
71.08,76.2,So let me remind you first of all something we've been talking about and hopefully you
76.2,81.60000000000001,understand at this point in our lectures on object-oriented programming.
81.60000000000001,86.60000000000001,And that's the idea that when we write our own object types we're writing code from two
86.60000000000001,88.52000000000001,"different perspectives, right?"
88.52000000000001,93.2,The first perspective is the one on the left-hand side here where we are making design decisions
93.2,97.96000000000001,"for how we want to implement this new object, this new data type."
97.96000000000001,102.60000000000001,"And when we make these design decisions we decide the name of the object, we decide the attributes"
102.60000000000001,108.24000000000001,which are either data or procedures that we want the object to have.
108.24000000000001,113.28,And then once we've decided on this and we've implemented our data type then we can start
113.28,121.24000000000001,to use the data type and to use it we are creating a whole bunch of objects of this type.
121.24000000000001,125.64000000000001,And we're manipulating these objects in some interesting and useful way.
125.64000000000001,130.60000000000002,"So the left-hand side we're creating is blueprint, this abstract notion of an object."
130.6,135.07999999999998,"And the right-hand side we are creating actual instances that we manipulate, right?"
135.07999999999998,139.68,So up until this object-oriented lecture set of lectures we've really just been working
139.68,141.32,"with the right-hand side, right?"
141.32,145.51999999999998,We've been working with objects that other people have created but the big idea of these
145.51999999999998,149.84,set of lectures is that we now get to create our own object types so we get to write this
149.84,151.16,code here.
151.16,159.12,"Okay, so we're going to write code to create a tracker for workouts."
159.12,163.36,And today's lecture there's going to be sort of a sequence of things that we're going
163.36,164.36,to do.
164.36,167.24,We're going to start out with a really simple workout object and then we're going to improve
167.24,168.24,on it.
168.24,172.72,So I've actually set out a little roadmap here on the board that we can follow so every
172.72,176.96,time we finish sort of a little section we'll check it off so it's just easier to understand
176.96,179.72,sort of where we are in today's lecture.
179.72,184.32,So we're going to create first just a very simple workout object sort of in the same spirit
184.32,187.36,"that we've created, we've been creating objects."
187.36,192.56,And then we're going to improve on it a little bit by adding nicer methods and things
192.56,193.56,like that.
193.56,197.4,And then we're going to go through the idea of inheritance to create very specific types
197.4,198.4,of workouts.
198.4,203.56,"So if we think about workouts, we have many different kinds of workouts, right?"
203.56,210.16000000000003,"We've got biking, swimming, running, but really at the core of all these workouts, right?"
210.16000000000003,214.60000000000002,"If we think about sort of the information related to just a very generic workout, not"
214.6,220.4,"a running or swimming specific one or a biking one, just a generic workout, there are some"
220.4,224.28,"common properties that all of these workouts have, right?"
224.28,227.07999999999998,"So I've listed them here, right?"
227.07999999999998,230.04,"The workout might have an icon associated with it, right?"
230.04,237.24,"So this, this, this, but whatever it may be, there is an icon sort of property for a workout,"
237.24,241.72,"the kind of workouts, so biking, swimming, running, things like that, a date."
241.72,246.88,"So maybe a start date and an end date, start time, end time, that kind of information."
246.88,253.68,"The heart rate, maybe average heart rate throughout that entire activity, the distance and the"
253.68,255.56,"number of calories burned, right?"
255.56,261.64,All of these properties are common to any kind of workout that we might want to create.
261.64,267.52,"But now that we have specific kinds of workouts that we might want to create, we can actually"
267.52,272.91999999999996,"think, well, in addition to these common properties, a swimming specific workout might actually"
272.91999999999996,276.44,"have some more information that we'd like to save, right?"
276.44,279.08,And we'd like to allow the user to work with.
279.08,284.15999999999997,"So the swimming pace, maybe the stroke type, the 100-year-old splits, things like that for swimming."
284.15999999999997,288.44,"And for running, we might want to show the user, the cadence, the running pace, the mild splits,"
288.44,292.96,"and maybe the total elevation throughout that run, right?"
292.96,297.12,But the idea here is that we have some core set of properties that no matter what kind
297.12,304.16,"of workout we're creating, we would like to save, and we would like to allow the user to"
304.16,307.2,store and to do operations with.
307.2,310.8,"Now when we implement our workout class, we're not going to implement all of these, they're"
310.8,314.32,"not all necessary, we're going to just keep some of the core ones."
314.32,318.88,"So the ones we're actually going to implement in this class are italicized, right?"
318.88,324.16,"So we're going to keep the icon and the kind of workout that's start time and times, and"
324.16,325.84000000000003,then the number of calories burned.
325.84000000000003,332.28000000000003,So that's something that we're going to just save as a really common set of attributes for a workout.
332.28000000000003,336.6,"But of course, you can see that if you make the design decision to improve upon this workout class,"
336.6,340.68,you might include a bunch of these other ones as well.
340.68,345.88000000000005,"Okay, so we're going to have to decide the data attributes."
345.88000000000005,348.08000000000004,"So we just mentioned on the previous slide, right?"
348.08000000000004,352.56000000000006,"When we make design decisions, we figure out the attributes that we'd like to have for"
352.64,356.0,"our object type, so that's the data and the behaviors."
356.0,360.44,"For the data, for a workout, we've decided it would be the start time, the end time, and the"
360.44,362.12,number of calories burned.
362.12,367.28000000000003,"So those three things together, maybe start time is a string and time is a string and calories"
367.28000000000003,368.28000000000003,"is a number, right?"
368.28000000000003,370.64,"Either a float or a hint, whatever."
370.64,376.16,Those three things together make up the object a workout.
376.16,380.64,"And then in terms of functional attributes, so these are the methods that our object might"
380.64,381.64,have.
381.64,386.96,"Well, we can have, of course, the ability to tell us the number of calories burned, so"
386.96,391.71999999999997,something like a getter method to set the number of calories burned if we accidentally
391.71999999999997,397.4,"inputted the wrong number, reset it, and then maybe something like displaying an information"
397.4,398.4,"card, right?"
398.4,404.4,"So something like this, if the user asks us to print a workout object, we might display"
404.4,407.36,information in this nice manner here.
407.36,408.36,Okay.
409.36,411.96000000000004,"All right, so let's start defining our class."
411.96000000000004,417.04,"So this is a very simple workout class, so we're going to do the box number one up there before"
417.04,418.12,we improve on it.
418.12,424.0,So this is in the same spirit as we have been defining classes in the past three lectures.
424.0,430.04,"So we tell Python, we're creating a new object by saying this is a class, and the name of this"
430.04,433.84000000000003,"object, so the type of this object is workout, okay?"
433.84000000000003,439.56000000000006,"The parent of this object is the generic Python object, so far so good, right?"
439.56000000000006,442.72,"Now the first method we have to implement is the init method, right?"
442.72,448.40000000000003,"It tells Python how to create an object of type workout, the constructor, and we've got"
448.40000000000003,453.64000000000004,a bunch of parameters in here because it's just a regular function that's a little bit special.
453.64000000000004,457.48,"The first parameter of every method is, of course, self, right?"
457.48,461.64000000000004,"Because when we call a method, we call it on an object, right?"
461.64,468.08,"So some object dot this method name, the thing before the dot effectively gets mapped to"
468.08,474.03999999999996,"the variable self, which is why every one of these methods has self as the first parameter."
474.03999999999996,477.52,And then we've got a whole bunch of other parameters for how we would like to initialize
477.52,479.0,a workout object.
479.0,484.59999999999997,"So we're going to say, when we create a workout object, we're going to tell it the start time,"
484.59999999999997,489.88,"the end time, and the number of calories burned, okay?"
489.88,495.76,"So that's the function stub, I guess, that's how you create the object."
495.76,497.92,And then what does this function actually do?
497.92,499.92,What does this method actually do?
499.92,506.0,"Well, it does some of the usual things that we know at this point, so it basically maps"
506.0,511.28,"every one of these input parameters to data attributes, self dot start, self dot end, and"
511.28,514.76,"self dot calories, okay?"
514.76,519.84,"But in addition to just saving these as data attributes, the things that are passed in when"
519.88,522.8000000000001,"you create the object, we would like to do two more things."
522.8000000000001,525.5600000000001,"We're creating two more data attributes, right?"
525.5600000000001,530.2,"So in total, a workout object is defined by five data attributes."
530.2,533.76,"These last two data attributes, we don't need to pass in, right?"
533.76,538.2800000000001,"We're just going to, by default, make them two strings."
538.2800000000001,544.2,"The icon is going to be the string, this sweating person emoji, right?"
544.2,547.96,"And you can have emojis inside strings, which is actually pretty cool."
547.96,550.84,And the kind is going to be just the kind of workout.
550.84,553.0400000000001,So we're just going to set it to be the string workout.
