Start Time,End Time,Text
0.0,15.4,"All right, everyone, so let's get started."
15.4,22.16,Last lecture we introduced functions and we saw some syntax around how to create functions
22.16,27.0,but mostly we were interested in kind of motivating functions as a way for us to start writing
27.0,32.84,"really clean code, code that's easy to debug and code that's easy to read in the future."
32.84,40.44,Today we will continue our fun adventure with functions and we'll see what it means
40.44,43.519999999999996,to treat functions as objects.
43.519999999999996,47.760000000000005,So let's recall the example we talked about last lecture.
47.760000000000005,51.760000000000005,We created this function is even.
51.76,58.519999999999996,So the syntax for creating a function is basically the keyword df tells Python we're defining
58.519999999999996,59.839999999999996,a function.
59.839999999999996,64.92,"We decide what name to give our function, parentheses tells Python in here we're going"
64.92,68.8,"to name all the arguments, all the inputs to the function."
68.8,72.24,The colon starts the body of the function.
72.24,79.96,"The first part, it's not required but should always kind of be in there as a way for us to"
79.96000000000001,83.12,implement abstraction is called the doc string.
83.12,87.4,"So this in green is the doc string, triple quotes starts our doc string and triple quotes"
87.4,89.48,ends the doc string.
89.48,96.48,And you think of the doc string also known as a specification as just a really long comment.
96.48,101.52000000000001,And in it it's and the doc string is kind of I called it a contract between the person
101.52000000000001,105.80000000000001,who writes the function and a person who uses the function.
105.8,110.47999999999999,"And in the contract, the person who writes the function basically says this function is"
110.47999999999999,115.92,going to take these inputs and I guarantee this function to work correctly when you give
115.92,121.16,"me these inputs of these types and these restrictions on them, things like that."
121.16,126.72,And then you also state what the function is going to do and then you also state what the
126.72,129.32,function will return.
129.32,135.24,"In this particular function we have only one line, this is the body of the function, but"
135.24,139.4,you've hopefully seen functions that are a little bit longer as you did the practice from
139.4,141.76000000000002,last lecture.
141.76000000000002,145.72,"And the body of the function itself, so the lines of code are basically lines of code that"
145.72,147.56,we've seen before.
147.56,154.0,There's nothing sort of special about that except for lines that start with a return.
154.0,160.04000000000002,So lines that start with a return basically tell Python that as soon as I see this line
160.04,166.88,"with a return hit in when I'm executing my function, I need to stop executing this function,"
166.88,173.32,take the value associated with this return and pass it back to whoever called me.
173.32,176.68,A function always returns something.
176.68,181.51999999999998,"In this particular case, the function will return either true or false, a Boolean, but you"
181.51999999999998,188.95999999999998,"can write functions, I return integers, floats, strings, things like that."
188.96,191.12,"In this case, yeah, this is what is returned."
191.12,195.64000000000001,It is possible and we actually saw this in one of the utriots as we were writing our code.
195.64000000000001,200.96,It is possible to write a function that doesn't actually return anything explicitly.
200.96,206.76000000000002,"So here is even function and inside the body, the only change I've made is I've eliminated"
206.76000000000002,211.12,"the little return keyword, but otherwise the work that is done is the same."
211.12,215.56,So here I'm just calculating whether the remainder is zero or not.
215.56,222.24,So this line of code when the function is executed is replaced with either true or false.
222.24,226.88,"Notice this function doesn't have a return keyword, but all functions return something."
226.88,232.72,"So while function is being executed because of a function call, if the function reaches"
232.72,239.36,"the end of all of these indented lines here, everything that's indented, if it reaches the"
239.36,245.24,"end and no return statement has been hit, then Python automatically returns none."
245.24,247.28,So this is the line without a return statement.
247.28,252.4,"You can think of this code as basically behind the scenes, Python putting this little line"
252.4,255.60000000000002,at the bottom that says return none.
255.60000000000002,258.88,Now this is not something that we would ever write.
258.88,263.44,"You just do the operations, maybe you print some stuff out, and then you just omit the return"
