Start Time,End Time,Text
0.0,19.080000000000002,"Let's get started, everybody."
19.080000000000002,26.68,"So last lecture we began talking about this topic of recursion, and hopefully solidified"
26.68,32.56,a few sort of really fundamental ideas about recursion that we're going to use in today's
32.56,33.56,lecture.
33.56,40.88,"Today's lecture, the first half of it is we're going to talk about recursion just kind of"
40.88,46.08,"to review on some actual numerical examples, but then the second half, which is the main"
46.08,49.36,"event for today, is going to be recursion on non-numeric."
49.36,54.6,"So specifically recursion on lists, but the techniques we'll see on lists can be applied to"
54.6,60.0,"other things that are non-numeric as well, like two pulls or strings or things like that."
60.0,64.84,So let's start the review of a little bit of review of what we talked about last time
64.84,67.44,in some of the big ideas by looking at this example.
67.44,71.92,So we're going to write a recursive function for the Fibonacci sequence.
71.92,77.92,"And the Fibonacci sequence exists in nature and a lot of places, one specific place is"
77.92,84.8,you can model a mating of rabbits using Fibonacci sequence.
84.8,86.52,But we won't be setting that in depth today.
86.52,88.68,We're just going to be looking at the sequence itself.
88.68,95.64,"So just to remind you, the idea behind Fibonacci is we start out with two sort of basic values."
95.64,99.0,"Fibonacci of one is one, and Fibonacci of two is one."
99.0,102.6,"So in my table here, I've got these two starting values."
102.6,107.44,And we can fill in the remainder of the table by basically saying Fibonacci of n is Fibonacci
107.44,110.64,of n minus 1 plus Fibonacci of n minus 2.
110.64,113.0,So Fibonacci of three will be 1 plus 1.
113.0,115.16,Fibonacci of four will be 2 plus 1.
115.16,116.96,Fibonacci of five is 3 plus 2.
116.96,119.03999999999999,Fibonacci of six is 5 plus 3.
119.03999999999999,121.24,And Fibonacci of seven is 8 plus 5.
121.24,125.44,That's the sequence we all know and love.
125.44,131.0,"So our two base cases, if we're going to put this in mathematical terms, are Fibonacci of"
131.0,131.64,one is one.
131.64,133.92,Fibonacci of two is one.
133.92000000000002,141.08,"And our recursive step, in terms of the math and slash programming, Lingo is going to"
141.08,147.08,be the Fibonacci of n is equal to Fibonacci of n minus 1 plus Fibonacci of n minus 2.
147.08,152.88000000000002,"So we put that in our function, so we slap a definition around that code and turn it"
152.88000000000002,155.4,into a nice function that we can run.
155.4,158.76000000000002,"If x is 1 or x is 2, those are our two base cases."
158.76000000000002,163.48000000000002,"We just return 1 right off the bat, nothing to call, no functions to call."
163.48,169.2,"There are base cases, but otherwise we're going to return a value and the thing we're"
169.2,174.82,"going to return is a call to Fibonacci of n minus 1 plus Fibonacci of n minus 2, just"
174.82,179.23999999999998,like the mathematical definition said to do.
179.23999999999998,183.28,"So this is different than what we saw last lecture, last lecture, and our recursive step,"
183.28,186.95999999999998,"we had basically just one function called to ourselves, right?"
186.95999999999998,192.23999999999998,"So whatever function we had to find up here, we only had return, you know, some variation"
192.24,196.48000000000002,"of that function down here with something else tacked onto it, like an addition of"
196.48000000000002,198.56,some value or something else.
198.56,203.4,"In this case, we actually have the function being called twice, okay?"
203.4,209.4,So we're going to see what implications this has as we trace through the code.
209.4,213.68,"And so as I trace through the code, I'll remind you of some of the big ideas that we learned"
213.68,216.08,last lecture.
216.08,219.88,So let's say that we wanted to calculate Fibonacci of 6.
219.88,225.64,"And so I'm going to illustrate a function call just by, you know, the name of the function"
225.64,228.2,with the parameter that I'm calling.
228.2,233.4,So one of the big ideas from last lecture was that when you make a function call that to
233.4,238.48,"a function that's recursive, you're going to trace through that function call and the"
238.48,241.56,environment for that function just as you normally would.
241.56,246.64,"But as soon as you see another function call, so in this case, Fibonacci of 6 doesn't enter"
246.72000000000003,250.8,"the base cases, it goes up into the recursive step."
250.8,257.08000000000004,"And it says, I'm going to calculate Fibonacci of x minus 1 plus Fibonacci of x minus 2."
257.08000000000004,263.08000000000004,"So for this Fibonacci of 6 function call, let's follow along and say, well, Fibonacci"
263.08000000000004,269.96000000000004,"of 6 will say, I want to calculate Fibonacci of 5."
269.96000000000004,275.96000000000004,"Is it, this is my question to you, is it going to now calculate Fibonacci of 4?"
277.64,280.64,"No, very good."
280.64,287.64,"Because Fibonacci of 5 is a function call, right, we need to explore what this function will"
287.64,294.64,"return before Fibonacci of 6 can add the result of this, the return of this to Fibonacci of 4."
294.64,303.64,So that means that this new Fib 5 is an entirely new environment calling Fibonacci with n is equal to 5.
303.64,307.64,Completely separate than our original Fibonacci of 6 call.
307.64,310.64,So let's explore what Fibonacci of 5 is going to do.
310.64,313.64,"Well, in its function call, it's going to again go in the recursive step."
313.64,316.64,It's going to figure out Fibonacci of 4.
316.64,321.64,"And then it's going to pause there, right, because it needs to figure out what Fibonacci of 4 is before it finishes its"
321.64,324.64,"other half, right, to do Fibonacci of 3."
324.64,330.64,"So Fibonacci of 4 will now create a new environment, and now it has to explore its return."
330.64,337.64,So Fibonacci of 4 is again going into the recursive step to calculate Fibonacci of 3 plus something.
337.64,342.64,"But we don't know what that something is yet, because we have to explore what Fibonacci of 3 is, right?"
342.64,349.64,"So already where 4 function calls deep and we haven't really done any work that we can see the result of, right?"
349.64,351.64,There's no values being passed back.
351.64,359.64,All we're doing is exploring this path down until we get to some sort of base case that will kick off our
359.64,363.64,sort of conquer step where we pass values back up the chain.
363.64,372.64,"So Fibonacci of 3 again is going to look at Fibonacci of 2, and finally we've reached a base case."
372.64,377.64,"So Fibonacci of 2 will immediately return, right? It doesn't make another function call."
377.64,387.64,"So Fibonacci of 2 will return a value, and then Fibonacci of 3 in its function call has the result for Fibonacci of 2."
387.64,392.64,"And then it's going to do plus that value plus Fibonacci of 1, right?"
392.64,394.64,3 minus 2. So that's this one here.
394.64,402.64,"It can easily grab the, do that addition and return the value back up to Fibonacci of 3."
402.64,409.64,"So now Fibonacci of 3 has its first half ready, right?"
409.64,415.64,"So Fibonacci of 4, sorry, so Fibonacci of 4 has its first half ready, Fibonacci of 3."
415.64,421.64,"So Fibonacci of 4 was trying to figure out what Fib 3 was, and it did, right?"
421.64,426.64,"It was Fib 2 plus Fib 1, 2. So now it has a value for its first half here,"
426.64,432.64,"and it needs to add that value to Fibonacci of 2, 4 minus 2."
432.64,435.64,"So it will explore that path, that's a base case."
435.64,441.64,"So all it does is return the value immediately, and now Fibonacci of 4 has its value,"
441.64,446.64,"whatever Fib 3 was, that we figured out, plus Fib 2."
446.64,451.64,"Now Fib 4, we have a value for it when we called Fib 5."
451.64,456.64,"So Fib 5 is now halfway happy because it knows what Fib 4 is,"
456.64,460.64,but it needs to add that to Fib 3.
460.64,465.64,"So Fib 5 is still halted, right? It can't return anything,"
465.64,468.64,but because now it needs to explore what Fib 3 is.
468.64,475.64,"Well, Fib 3 is going to be,"
475.64,480.64,"do another function call, right? So it's going to call Fib 2 and Fib 1,"
480.64,484.64,"which are two base cases, which easily return the value back up to Fib 3."
