Start Time,End Time,Text
0.0,17.0,"So welcome to the last class, please don't come on Wednesday, I will not be here."
17.0,23.0,Today we will just be tying up some loose ends regarding some topics that we've seen throughout the course.
23.0,29.0,And then I'm going to do just a wrap up of things we've learned and potential courses
29.0,31.0,that you might want to take after this.
31.0,38.0,"Okay, so today, as I mentioned, we're going to tie up some loose ends regarding lists, dictionaries."
38.0,46.0,So those two topics are going to be combined into one part of this lecture.
46.0,49.0,It's going to also include a little bit about complexity.
49.0,57.0,So just some things that we've learned demystifying some details that I skipped throughout the past few lectures.
57.0,60.0,And then we're going to talk about simulations.
60.0,67.0,"So simulations are very, very useful, is a very useful idea that you can already do with what you've learned in this class."
67.0,75.0,And I'll show you some useful places where you can apply computation and simulation to do some interesting things.
75.0,77.0,And then we'll do the wrap up.
77.0,81.0,So let's first start talking about lists.
81.0,87.0,So lists were the first data structure that we encountered that was really useful.
87.0,91.0,We did see strings and we did see two pulls and things like that.
91.0,97.0,"But once we saw lists, it opened up a whole new world of possibilities for how we can manipulate data."
97.0,100.0,So lists are sequences of objects.
100.0,103.0,I kind of skipped past how they're actually implemented in memory.
103.0,105.0,So I do want to talk about that a little bit.
105.0,114.0,"But what we did talk about was the complexity, the asymptotic complexity of list operations."
114.0,116.0,So some of these were pretty obvious.
116.0,125.0,"So the ones that are theta of n down here were obvious because, well, to check for equality between two lists, you of course have to look at each element in the list."
125.0,127.0,So that's theta of the length of the list.
127.0,134.0,"To check whether an item is in a list or to iterate over list, obviously it's theta of n because you have to look at each element in the list."
134.0,138.0,But we didn't really talk about the complexities up here.
138.0,142.0,So accessing an item in the list specifically is theta of one.
142.0,151.0,"So that means if you have a list with a whole bunch of elements in it to grab the element at a specific memory location, it's constant time complexity."
151.0,154.0,So it's basically doesn't depend on the length of the list.
154.0,155.0,It's instant.
155.0,157.0,So we're going to see why that is.
158.0,165.0,"Let's first, for simplicity's sake, assume that we're storing a list in memory of just integers."
165.0,169.0,"So I know lists can store other lists, and dictionaries, and things like that."
169.0,174.0,"But just for this first slide, let's assume all we're doing is storing integers."
174.0,182.0,"So the way Python does this is, when you create a list, let's say you're initially populated with length L,"
182.0,191.0,and Python initially allocates a contiguous memory block with length L memory locations.
191.0,196.0,"So if you have a list with 100 elements in it, initially populated with 100 elements in it,"
196.0,202.0,Python will initially create for US sequence of memory locations that are reserved for this list.
202.0,207.0,"Then it says, well, if this is going to contain just integers,"
207.0,213.0,I'm going to say each one of these memory locations will hold four bytes for that integer.
213.0,215.0,That's kind of how we represent an integer.
215.0,218.0,"And it could be, you know, eight bytes, something else for different machines."
218.0,223.0,"But in this particular example, let's just say each one of those memory locations will store an integer,"
223.0,225.0,and that's four bytes long.
225.0,232.0,"Well, if this list is contiguous, right, a bunch of blocks of memory in all-in-order,"
232.0,238.0,"then to access the Ith element, all you need to do is a little bit of math, right?"
238.0,242.0,"So here I've got an integer in one position in my contiguous block,"
242.0,249.0,then I have maybe another integer at the next position and so on and so on until I have another integer at the Ith position.
249.0,256.0,"So since these are consecutive to access the location of the element in this Ith spot,"
256.0,265.0,all I need to do is look up that many memory locations from the start of my list.
265.0,266.0,So that's just pure math.
266.0,269.0,So one byte is eight bits.
269.0,280.0,"So if I have four times eight bits multiplied by I plus the first location,"
280.0,285.0,that will tell me exactly the location of the Ith integer.
286.0,291.0,So this is all made possible because these memory locations are allocated in order.
291.0,297.0,"If they were allocated not in order, then maybe this would not be as easy."
297.0,298.0,Yeah.
298.0,304.0,"32 because, so if I say an integer is stored as four bytes,"
305.0,309.0,in bits that's four times eight because eight bits is in one byte.
309.0,311.0,So eight times four is 32 bits.
315.0,316.0,All right.
316.0,323.0,"But this is assuming that I'm storing integers and obviously lists can contain other lists,"
323.0,326.0,"they can contain two pulls, they can contain dictionaries,"
326.0,331.0,"and some of those objects might not fit within this set number of bytes,"
332.0,337.0,"within four bytes because some of those objects might be very, very large themselves."
337.0,342.0,"So in that particular case, let's say the list is heterogeneous,"
342.0,349.0,"that doesn't face us because we can say, well, instead of storing the object itself"
349.0,354.0,at each memory location that worked for integers but might not work when we have to store
354.0,358.0,"a list of a thousand elements at a particular memory location,"
359.0,363.0,"instead of storing the element itself, let's store a pointer."
363.0,370.0,And a pointer is just a number that tells you which memory location that list might be stored at
370.0,373.0,"or that dictionary might be stored at, right?"
373.0,378.0,"So if we store a pointer at a particular memory location, then that means that"
378.0,384.0,this is my again contiguous memory allocated for a list of length L or something like that.
385.0,389.0,"Then here, I'm storing and still an integer and that integer tells Python"
389.0,396.0,which memory location to jump to to grab the integer that's stored there or something like that.
396.0,401.0,"And here, I might have another list that I'm storing but I'm not storing it exactly"
401.0,408.0,"in that memory location, it's pointed to by this pointer that tells Python again"
408.0,413.0,to jump to a different memory location where that list might be contiguously stored itself.
414.0,420.0,"So here in this example, I'm still storing numbers."
420.0,425.0,It's just that these numbers correspond to a memory location that tells Python where to go
425.0,429.0,"to get my element in that list, right?"
429.0,435.0,"So in terms of the computation to get the Ith element in the list, it's going to be the same."
435.0,442.0,"I'm still allocating in my original list four bytes to store my pointer, again just a number."
442.0,449.0,"And so to get the Ith location, all I need to do is tell Python to go the start of this list"
449.0,456.0,plus 32 times I locations down to get to that element.
456.0,460.0,"So this formula here, right?"
460.0,468.0,Adding the start of this memory location of the list plus 32 times I is just math.
468.0,472.0,"There's nothing here that depends on the length of the list, right?"
472.0,479.0,"So to grab the element at the Ith location, right, somewhere within here, all we're doing is some math, right?"
479.0,482.0,An addition and a multiplication.
482.0,487.0,"And since that is just, you know, none of that depends on the length of the list."
487.0,492.0,"The complexity to access the Ith element in the list is constant, right?"
492.0,493.0,Just math.
493.0,502.0,"And we're using this idea that we are, we know exactly how many memory locations we need to jump to get to the Ith location."
502.0,504.0,Does that make sense?
504.0,506.0,Okay.
506.0,514.0,"So that leads us to the question, well, okay, we're storing a list of elements."
514.0,519.0,"And we're using the idea that a list has indices, right?"
519.0,527.0,"Unless the value, there's an element at index zero, an element at index one, an element at index two, and so on."
527.0,530.0,"So there's an order to the list, right?"
530.0,537.0,"And because of that order, we're able to index an element at the Ith location in constant time."
537.0,541.0,But let's say we want it to store a dictionary.
541.0,546.0,"The dictionary does not have an order to it, right?"
546.0,547.0,And what is a dictionary store?
547.0,550.0,It stores a key value pair.
550.0,556.0,"In a list, you could think of the quote unquote key as the index zero, one, two, three, four, and so on."
556.0,559.0,And the value was the element at that index.
559.0,564.0,"But in a dictionary, the key is not ordered, right?"
564.0,565.0,The key can be anything.
565.0,569.0,I've got a dictionary that maps maybe a name to a Boolean.
569.0,573.0,"Maybe, you know, the student is in this class, true or false."
573.0,581.0,"So a naive implementation of a dictionary could be to say, well, let's implement elements of the dictionary."
581.0,584.0,So a key value pair as a list.
584.0,586.0,So just two elements.
586.0,588.0,The first element in that list is my key.
588.0,591.0,"And the second element in my list is my value, right?"
591.0,594.0,"So here, I really naive implementation uses the list."
594.0,597.0,And I've got four entries in my dictionary.
597.0,600.0,The element at index zero are all strings.
600.0,607.0,The element at index one in each location is my value associated with that key.
607.0,615.0,"Well, if I were to index into this list, right, to grab the value associated with Eric, for example."
615.0,619.0,Can I do that in constant time?
619.0,624.0,"No, right? Because there's no numerical index here."
624.0,629.0,"There's no order to this set of values, right?"
629.0,632.0,"It's not even an alphabetical order, right?"
632.0,634.0,"So a, then j, then e, then s."
