Start Time,End Time,Text
0.0,24.84,Okay. Let's get started with today's lecture. It's going to be more of a chill lecture than
24.84,29.22,"what we've done in the past. Even though we've got quite a few things to cover, as you"
29.22,34.66,"can see from this title slide, I'm not going to go super duper fast, so please feel free to ask"
34.66,39.0,lots of questions. And then the second half of the lecture will be really chill because we're going
39.0,46.379999999999995,"to be talking about testing and debugging strategies. So super high level topic. But first, we're going"
46.379999999999995,53.82,to tie up some loose ends related to lists and relating to functions. So we're not going to introduce a lot
53.82,59.94,"of new syntax. These ideas are sort of more optional in your day-to-day coding, but they're just"
59.94,66.26,"really, really nice to know. So let's first start talking about this idea of a list comprehension."
66.26,75.62,So you've been writing functions that deal with lists. And one really common pattern that I hope
75.62,81.78,you've seen so far is the following. So this code right here shows something that we've definitely
81.78,88.06,"coded together, and you've definitely coded in the finger exercises and the quizzes. And so it is a"
88.06,94.34,really common pattern. So the idea here is you have a function that creates a new list where the
94.34,101.1,elements of this new list are a function of the input list. So the pattern here is we create a new
101.1,107.9,"empty list inside the function. We have a loop over every element in the input, and to each one of"
107.9,112.62,"these elements in the input, we apply the same function. So in this particular case, we're taking that"
112.62,119.30000000000001,"element and squaring it. And each one of these elements were appending to this new list, originally empty,"
119.30000000000001,126.10000000000001,"until we've reached, we've done this function to every element in L, and then we return this newly created"
126.10000000000001,134.58,"list. So since this is a really common thing that programmers do, Python allows you to do this exact"
134.58,141.58,functionality with one line of code. And the way we do this is using something called the list
141.58,147.9,"comprehension. So the way that we do a list comprehension, essentially taking these four lines of code from"
147.9,155.98000000000002,"this function, we are going to write them in this one line of code that looks something like this. So the"
155.98000000000002,163.74,"idea here is with this one line of code, we're going to create a new list. We're going to have an iterator that"
163.74,169.70000000000002,"goes through some sort of sequence of values, and we're going to apply the same function to every one of those"
169.70000000000002,176.42000000000002,elements. And the other optional piece that we can add inside this list comprehension is to only apply that
176.42000000000002,187.10000000000002,"function if some condition holds. So let's look at this example, and see how we can convert these four lines of"
187.1,201.1,code to one line of list comprehension code. So we've got creating a new empty list. This is going to tell Python to create a new
201.1,208.57999999999998,"empty list for us. So just open and close square brackets. And within these open and close square brackets, we're going to"
208.58,222.58,write a one-liner expression. And this one liner is going to encapsulate these two lines of code here. So the function we're going to apply to every
222.58,235.58,"element in L is going to be taking that element and squaring it. So on the right hand side here in the list comprehension, we've got some e squared. Well, what is e? Well, it's going to be every element"
235.58,256.58000000000004,"e in L. So if we read this in English, we basically say L is going to contain elements e squared for e in L. So it sounds weird, but it kind of makes sense even if we read it in English. And behind the scenes, Python will take one by one, each element in L, square it. And"
256.58,274.58,"that's the sequence of elements. It will populate this L new with. Now, what if we add a condition to that? So let's say we want to create this new list of elements only for even elements. So we only want to square the"
274.58,292.58,"elements within my original list L. Well, if we were to write a function that does that, we have to add this extra condition here. So everything else is the same except for this if e percent 2 equal to 0. This tells Python to only grab elements that are even."
293.58,320.58,"So how do we write this in list comprehension form? So here's a new list. And this is the function to apply only if the test is true. In list comprehension, this is my new list. I've got the for loop is over here. And then the test to apply is at the end here if e percent 2 equal to 0. And then what is the function we're applying? It's just e squared like before."
320.58,330.58,So the test just gets appended to the end of this list comprehension expression here. Yeah.
333.58,348.58,"Does it run faster? I'm not sure actually. It might run marginally faster, but probably not significantly. The reason to do this is because as you get more practice with it, this will be easier to read in code."
348.58,360.58,"And often, if you see a large chunk like this, your eyes will glaze over. You're not going to want to read a chunk like that. But if you see it all in one line, you're going to think, well, how bad can it be?"
361.58,376.58,"And so you can come up with really complicated list comprehension expressions. But usually we reserve them for really simple, really quick ways to create these lists that you just populate with some values right off the bat."
376.58,390.58,"So it just makes the code a lot easier to read. Okay. So list comprehension are pretty useful. If you get a little bit of practice with them, you'll find yourself kind of using them all over the place."
391.58,402.58,And they basically replace code that looks like this. Okay. So these lines of code is a very generic way of writing this one liner list comprehension.
403.58,416.58,So here I've got a function F that I would like to apply. This XPR expression is the function I would like to apply to each element. This is the list I would like to apply that function to.
417.58,425.58,"And the test is going to be the conditional. In this particular case, this test means I apply it to every single element."
425.58,433.58,"But you can imagine having a function, which, you know, in the previous case, we would say lambda X, X percent to equal zero as our condition."
434.58,443.58,"And then the function that we're essentially replacing is, is this with list comprehension. Right. We create this new list. Again, this is the pattern that we saw in the previous slide."
444.58,453.58,"We loop through every element in the list. If that condition holds, append that function applied to each element. And then at the end, return the list."
453.58,468.58,Okay. So this is just a very generic way to write a list comprehension. So let's look at some concrete examples. So here I'm not applying the function e squared to a particular set of elements from a list.
469.58,482.58,"I'm applying it to the sequence of values given by range. Remember when we were talking about four loops iterating through things, they can iterate through integers following some pattern like range six, range one comma nine."
483.58,491.58,"I'm a two, something like that. As long as you have a sequence of values, you can iterate over. You can plot that into this list comprehension."
492.58,500.58,So you could iterate over lists. You could iterate over two pulls. You could iterate over these direct ranges. You could iterate over range of the length of a list.
501.58,506.58,"Whatever creates an iterable for you, you can put that put that in the list comprehension."
506.58,516.5799999999999,"So in this particular case, the way I read this is I've got something that I'm squaring. And what's the thing that I'm squaring? It's going to be each value in range six."
517.5799999999999,523.5799999999999,"So I think about it like what is the sequence of values that I'm going to operate on? Well, it's going to be the number zero, one, two, three, four, five."
524.5799999999999,527.5799999999999,And the thing that I'm going to do to them is square each one of those values.
527.58,537.58,"So the end list that I get out of this one liner here is a list containing zero squared, one squared, two squared, three squared, four squared, and five squared."
538.58,548.58,"We can add a condition to that. So here I've got the each element squared for e and range eight, only if he is even."
549.58,555.58,"So then the way I think about it is let's start off with what every element in the range is. Well, it's zero, one, two, three, four, five, six, seven."
556.58,566.58,"The condition I'm applying to that is that it's even. So the numbers I'm going to end up with, I'm filtering all those to only contain zero, two, four, and six."
567.58,579.58,"Because we go up to but not including eight. And then I'm going to square every one of those. So the end result from this list comprehension is a list containing the element zero squared, two squared, four squared, and six squared."
580.58,591.58,"And lastly, we've been doing just single integers in the resulting list, but as I mentioned, we can do more complicated things."
592.58,600.58,"So as long as we can write a little expression here for the thing that we'd like to calculate or add to the list, we can put it in the list comprehension."
601.58,610.58,"So in this particular case, the element that I'm adding to my list comprehension or my resulting list from the list comprehension is a list itself."
611.58,624.58,"So each element in my resulting list is another list, right? And that inner list is going to contain two elements every time, the thing I'm actually iterating over and it's square."
625.58,636.58,"And I've got a condition here. So I've got the element zero, one, two, and three. That's the range. But I'm only grabbing the odd ones in this particular case."
637.58,648.58,"So the resulting set of numbers that I'm going to, I'm going to apply this to is going to be the number is the numbers one and three."
649.58,660.58,Because those are the two odd numbers in range four. And so the resulting list is going to contain two elements. So this outer square bracket is the list that I've created.
661.58,668.58,And its elements will be the element that I have actually iterated over and it's square as a list.
669.58,683.58,"So 1 and 1 squared for e and e squared when e is 1. And then 3 and 9, 3 squared when e is 3. Questions about that."
683.58,697.58,"So pretty cool. It's a really nice way to create lists really quickly. Like if you wanted to create a list full of zeros, full of 100 zeros, no need to do a loop."
697.58,708.58,You basically do a list comprehension that says square brackets zero for e and range 101 or 100. And then you've got yourself a nice list full of 100 zeros.
709.58,723.58,So think about this and then tell me what the answer is. So the idea here is we have this list comprehension. And just go through it step by step. It looks a little bit intimidating.
724.58,735.58,"But the first step is to look at the for loop and ask yourself what are the values I'm iterating over. Then look at the condition if there is one. There is one. In this case, it's at the end here."
735.58,746.58,"So now what subsets of those original things you're iterating over are you actually keeping? And then from those things that you're keeping, what function are you applying? It's the one right at the beginning."
747.58,753.58,So think about it and then I'll ask you to tell me.
754.58,764.58,"So step one, what are the values I'm iterating over? The full values, not including the condition. Someone yell it out."
765.58,780.58,"Yeah, that list in the middle. Awesome. Okay. So X, Y, ABCD, right. And then seven. And then what's the last thing? Is it the number 4.0 or a string?"
