Start Time,End Time,Text
0.0,21.240000000000002,"All right, so let's get started on today's lecture."
21.240000000000002,27.240000000000002,"So today we're going to be doing one of two lectures on the topic of recursion, and"
27.240000000000002,33.36,"we may or may not have heard of recursion, it's a programming technique and a way to algorithmically"
33.36,36.160000000000004,solve problems.
36.160000000000004,42.800000000000004,"It's not something that's going to come easy, because it's going to force our brain"
42.800000000000004,48.480000000000004,to think about problems that we've seen in a completely different way.
48.480000000000004,53.800000000000004,"So you don't have to use recursion if you don't want to, but there will be problems where the"
53.800000000000004,60.84,idea of recursion and applying or writing recursive code is going to come a lot more naturally
60.84,64.28,than writing code that we have been so far.
64.28,67.84,"But I'm just warning you, it's going to take a little bit of kind of forgetting everything"
67.84,73.16,we've learned about loops and things like that to train our brain to think recursively
73.16,75.36,for the next two lectures.
75.36,80.44,"To help you, we will have an interactive portion of today's lecture, so think about whether"
80.44,88.0,"you want to come up on stage or whatever this is, the front, and be a part of the interaction."
88.0,94.84,"You'll be forever immortalized on the open course where, awesome, I love it, on the open"
94.84,98.47999999999999,course where it videos.
98.47999999999999,107.2,"All right, so let's think about iterative algorithms that we've seen so far."
107.2,112.12,"So iterative algorithm basically means we are writing code that has a loop within it,"
112.12,113.12,right?
113.12,117.12,"So either a for loop or a while loop, writing code with these for loops or while loops"
117.12,125.68,"lead to iterative algorithms, so things that do some task, some, for some repetition."
125.68,132.04,So the idea of iterative algorithm is that there are some variables that capture the state
132.04,133.44,of the computation.
133.44,138.88,"So each time through the loop, these variables will change their value, essentially capturing"
138.88,142.16,what the values are at each step in the loop.
142.16,146.64,"So when we're writing these iterative algorithms, we basically think about what is something"
146.64,151.04,"that's changing each time through the loop, like we keep running some, like that's the easiest"
151.04,152.92,"example, right?"
152.92,158.32,"What is a variable that's changing each time through the loop, kind of like a counter that"
158.32,161.84,keeps track of how many times we've been through a loop?
161.84,162.84,When do you stop?
162.84,167.8,"For four loops, you stop after you've exhausted a sequence for while loops, you stopped when"
167.8,170.24,you have a condition that becomes false.
170.24,174.48000000000002,"And then at the end of the loop, you have some sort of result that you've been storing"
174.48000000000002,178.0,and accumulating or changing each time through the loop.
178.0,182.56,"So that's an iterative algorithm, and we've been working with these a lot."
182.56,188.36,"So to show you, we're going to go through the next few slides, showing you an iterative"
188.36,192.56,"algorithm to do multiplication, it's going to be very, very simple."
192.56,200.08,"And we're also then after going to look at the same problem, which is doing multiplication,"
200.08,201.64000000000001,but in the context of recursion.
201.64000000000001,206.08,And hopefully that gives you a sense for how we think about the exact same problem we're
206.08,211.68,"trying to solve, multiplying two numbers together in a completely different way."
211.68,214.44,So this is not the function that I want to write with iteration.
214.44,219.56,"I don't want to create a function named molt and then return a star B, right?"
219.56,221.6,I don't want to use the built-in function.
221.6,226.79999999999998,"I want to assume that I don't know how to do a star, a multiplication."
226.79999999999998,231.56,"And so instead, what I'm going to do is I'm going to rely on, let's say I know how to"
231.56,239.68,"do addition, I'm going to rely on the idea of addition to actually write my multiplication function."
239.68,243.72,So let's think about how to make multiplication iterative.
243.72,250.6,"We can have a loop, right, that adds A to itself B times, right?"
250.6,253.56,That is the definition of multiplication.
253.56,257.08,So let's write a function that does this using a for loop.
257.08,259.64,Then we'll write it using a while loop.
259.64,263.64,"With a for loop, we're going to write this iterative algorithm."
263.64,267.84,"It's capturing the state of the computation, just like we said we should."
267.84,274.15999999999997,"So the for loop will iterate, will have my range of values being from zero to B."
274.15999999999997,277.52,So we're going to repeat this loop B times.
277.52,282.0,"The variable total is capturing my state of the computation, right?"
282.0,286.52,It's keeping track of what the total is at each step through my loop.
286.52,290.12,"At the end of the loop, I return the total."
290.12,294.28,"So very, very simple iterative function here."
294.28,296.2,Now let's think about another iterative solution.
296.2,303.76,"Instead of keeping a loop variable B that goes from zero all the way up to B, or what was"
303.76,304.76,my loop variable?
304.76,305.76,And I think.
305.76,308.96,"Yeah, instead of keeping a loop variable and that goes from zero to B, let's work our way"
308.96,309.96,backward.
309.96,312.36,"And this time, let's use a while loop just for fun."
312.36,317.08,Let's say that I'm going to start at B and count down to zero.
317.08,322.76,"So again, repeating some task B times."
322.76,328.44,So what I'm going to do is I'm going to have some counter that starts at B and decreases down
328.44,330.32,to zero.
330.32,331.32,Again within my loop.
