Start Time,End Time,Text
0.0,15.36,"All right, so let's begin today's lecture."
15.36,19.52,"We have only two lectures left, this one and next Monday."
19.52,23.44,"I realize that there are no more deliverables for this class, right?"
23.44,26.76,"No more quizzes after tonight, no more presets."
26.76,28.64,So I do appreciate you coming to these lectures.
28.64,32.44,They're intended to be a little bit more fun.
32.44,35.76,"No need to take notes, just sit back and enjoy the content."
35.76,39.92,Today we're going to be talking about library and Python
39.92,41.6,that can help you do plotting.
41.6,43.92,And the reason why we talk about this plotting library
43.92,45.400000000000006,as opposed to something else that's
45.400000000000006,48.2,maybe more machine learning or something else like that
48.2,49.760000000000005,"is because at one point or another,"
49.760000000000005,52.84,if you decide to take any other course that kind of builds
52.84,56.24,"upon this intro course, you'll probably"
56.24,59.64,"want to create some graphs or visualize something, right?"
59.64,61.480000000000004,"Even if you do a Europe, you'll probably"
61.480000000000004,63.760000000000005,have to visualize some sort of data.
63.760000000000005,67.52,And it's a really nice next step to show you
67.52,69.68,how to use a library that already exists.
69.68,71.48,So somebody already put in the work
71.48,74.28,in creating this library that can plot things for us.
74.28,77.2,So let's just try to use it.
77.2,79.2,"And so it's just a really, really nice way"
79.2,82.52000000000001,for us to kind of wrap up the course
82.52000000000001,86.16,by showing this visualization library.
86.16,89.56,So the library we're going to do to use
89.56,91.64,is called matplotlib.
91.64,95.03999999999999,And it's kind of the most basic plotting visualization library
95.03999999999999,96.47999999999999,that we can have.
96.47999999999999,98.75999999999999,"And the way that we bring it into our code,"
98.75999999999999,100.6,"just like we have in the past few lectures,"
100.6,103.44,is with this import statement.
103.44,106.67999999999999,"And the actual file that comes into our,"
106.67999999999999,109.12,"into our, that we would bring into our program"
109.12,111.92,is called matplotlib.pyplot.
111.92,113.56,Now that's kind of a mouthful.
113.56,118.56,"And a lot of times when we want to use this library,"
118.56,122.92,you'd have to basically say matplotlib.pyplot.functionname
122.92,124.24000000000001,from that file.
124.24000000000001,127.2,And so that's a lot of writing and a lot of typing.
127.2,131.76,"So when we bring in this library into our own file,"
131.76,133.68,we can actually rename it.
133.68,138.6,"So as plt tells Python that now, I would like to refer"
138.6,142.96,to this file and this library as the name plt.
142.96,146.28,"So if we ever want to call functions,"
146.28,149.20000000000002,"or maybe objects and things like that from this file,"
149.20000000000002,151.88,we would do it using plt.
151.88,154.24,And then the name of whatever we want to use.
154.24,158.36,"So it's just a much nicer way to grab the contents of the file,"
158.36,161.24,instead of always writing matplotlib.pyplot.
161.24,162.16,"Something else, yeah."
162.16,163.48000000000002,Question.
163.48000000000002,166.36,You can think of it as a variable name.
166.36,168.28,It's anything you want it to be.
168.28,171.60000000000002,So you could import it matplotlib.pyplot as Anna.
171.6,175.16,"And then from there on, you can say Anna.processname,"
175.16,176.84,"or plt, or whatever it is."
176.84,179.2,So it's just whatever name you want to get.
179.2,182.2,Yeah.
182.2,186.4,"OK, so there are other visualization libraries"
186.4,189.44,that exist out there.
189.44,192.6,A lot of them are all of them build upon this one.
192.6,195.92,So this is kind of the most basic library that you can get.
195.92,198.64,And the other ones that exist build upon it
198.64000000000001,201.76000000000002,by kind of doing some things behind the scenes
201.76000000000002,207.32000000000002,"to maybe make your lives easier, or to do some really cool visualizations,"
207.32000000000002,208.60000000000002,"or maybe things where you can like,"
208.60000000000002,212.72000000000003,hover the mouse over a coordinate and things like that.
212.72000000000003,215.24,But we don't need to do any of that at this time.
215.24,220.16000000000003,It's just nice to take a look at this really basic visualization library.
220.16000000000003,224.32000000000002,"So throughout the lecture, we're going to look a little bit at some code."
224.32000000000002,227.88000000000002,We're going to run it on the Python file.
227.88,230.51999999999998,And then we'll just talk about it on the slides.
230.51999999999998,232.64,"So whenever we're plotting things,"
232.64,238.76,we need to tell Python a set of x values and a set of y values.
238.76,239.79999999999998,That's pretty common.
239.79999999999998,243.4,"If you've used MATLAB, you'll know that that's kind of the way it's done,"
243.4,245.4,"same, and Python."
245.4,247.92,So when we're creating the coordinates
247.92,250.68,"that we'd like to plot in a 2D plane,"
250.68,253.51999999999998,we're essentially just creating two lists.
253.51999999999998,257.48,"Where index by index, we're going to have a list containing"
257.48,260.72,all the values that we want for the x coordinate.
260.72,264.36,"And in a separate list, all the values"
264.36,265.88,that we'd like for the y coordinate.
265.88,268.48,So I'd index 0 in each of these lists.
268.48,271.92,"You're basically creating x values at index 0,"
271.92,276.76,"y values at index 0 becomes the coordinate, one coordinate point."
276.76,279.64000000000004,So one of the very simplest things that we can do
279.64000000000004,282.88,is we can create a nice list of values that
282.88,285.08000000000004,will be our x values.
285.08,290.44,So our x-axis will basically be the number 0 through 29.
290.44,294.71999999999997,"And then down here, we can create four different lists containing"
294.71999999999997,298.4,four different y-value coordinates.
298.4,303.0,"So when we're plotting, we're going to plot this x-value list"
303.0,305.03999999999996,against all these linear points.
305.03999999999996,307.91999999999996,"This x-value list against all these quadratic points,"
307.91999999999996,311.08,"and this x-value list against the cubic points, and so on."
311.08,313.15999999999997,So the way we're creating these lists
313.16,317.0,are pretty familiar Python syntax.
317.0,319.64000000000004,Our n is going through 0 to 29.
319.64000000000004,323.08000000000004,"And then we're appending to the end of each one of these lists,"
323.08000000000004,327.88000000000005,"linear quadratic cubic and exponential, some function of that end."
327.88000000000005,331.08000000000004,So the linear list will just have all the values again.
331.08000000000004,334.04,"So we're plotting 0, 0, 1, 1, 2, 2, so on."
334.04,339.24,"The quadratic list will be plotting 0, 0, 1, 1, 2, 4, 3, 9,"
339.24,340.92,"and so on, same with the cubic."
340.92,343.8,"And then this exponential, I just"
343.8,346.32,"chose randomly 1.5 to the power of n,"
346.32,348.28000000000003,"just because it kind of looked nice in the plot,"
348.28000000000003,350.36,but you can imagine a different number
350.36,353.32,for the exponential in there.
353.32,359.88,So the way we plot some values is by not surprisingly the plot
359.88,360.76,command.
360.76,365.36,So PLT was how we decided to import that library as the name
365.36,370.40000000000003,that we gave it.plot tells Python we'd like to plot some list
370.40000000000003,372.24,of x and y values.
372.24,374.24,So the parameters to the plot command
374.24,377.24,are going to be two sequences of values.
377.24,379.32000000000005,"They can be lists, typically."
379.32000000000005,380.72,But they could also be tuples.
380.72,384.00000000000006,They could also be the keys you get from a dictionary.
384.00000000000006,386.64000000000004,"That was also an iterable, things like that."
386.64000000000004,390.16,So we have to pass in a list of numerical things.
