Start Time,End Time,Text
0.0,18.3,"Okay. So let's get started. Today's lecture, we're going to do a little bit of a recap"
18.3,24.46,"of the last lecture. We had begun talking about binary numbers, and then we're going"
24.46,32.22,"to dive into our second algorithm of the class, the approximation method algorithm. So let's"
32.22,37.38,"remember the motivation we had for even talking about binary numbers, and how numbers are"
37.38,42.58,represented in the computer in the first place. And the motivation was this piece of code.
42.58,49.18,"So it's very simple. We have an initial x is 0, and then we have a loop that just adds"
49.18,58.94,"0.1 to itself 10 times, and then we printed whether that sum equals 1. And what we saw was"
58.94,65.38,that it was false. Printing x equivalent to 1 was false. So then we printed what the
65.38,72.5,"actual value of x was after adding 0.1 to itself many 10 times, and we saw that that summation"
72.5,79.46,"was actually 0.999999. And of course, to Python 0.9999 is not equal to 1, so that's"
79.46,86.12,"why we had printed false for x equivalent to 1, right? That expression. And so this"
86.12,91.74000000000001,"is our motivation. Why in the world does this happen in programming and Python, and something"
91.74000000000001,95.42,"like this could really screw us up, right? If we're not even able to compare floating"
95.44,105.14,"point numbers. So last lecture, we ended with this piece of code. It was a way for us to get"
105.14,110.34,"the binary representation of a number in base 10, right? So given some number, we followed"
110.34,116.98,"a really simple recipe, a really simple algorithm to convert that number into base 2."
116.98,122.26,"The stuff that's in boxes, let's not worry about it for now, but let's look at just this"
122.34,127.94,part right here. So the stuff that's in between the two boxes. And this is the part that does
127.94,134.98000000000002,"most of the work for us, or all of the work even for us. It basically creates a string, initially"
134.98000000000002,143.74,"empty. And the idea was that we were going to prepend either 0 or 1 to that string, depending"
143.74,149.94,"on whether the number we had was odd or even. So for a number like 19, if we wanted to convert"
149.94,156.94,"19 base 10 into base 2, what the algorithm was doing is over here in the loop. It says"
158.78,165.7,"while the num, this num, whatever it is, initially 19 is still greater than 0. Let's get the"
165.7,171.14,remainder when we divide the number by 2. So that's what this num percent 2 is doing. It's
171.14,179.34,"either getting a 0 or 1. So 19, the remainder when we divide 19 by 2 is 1. And we're going"
179.34,185.78,"to prepend, so we're casting this one integer to a string and prepending it to this result,"
185.78,191.86,"which is initially empty. So that's what this line is doing, result equals this thing here."
191.86,196.18,And then we're going to take our number and integer divided by 2. So we're going to take
196.18,201.78,"the number 19 and divide it by 2. So that's going to be 9.5, but we're only interested"
201.78,209.18,"in the integer portion of it, so 9. And then the loop does the check again, is 9 still"
209.18,214.3,greater than 0? It is. So then we're going to say what's the remainder when we divide 9
214.3,220.54000000000002,by 2? It's another one. So we're going to prepend it that remainder to the string that we're
220.54000000000002,226.94,"building up. And again, we're going to divide this number by 2. So now we have 4.5, and we only"
226.94,233.86,"grab the integer portion of it. 4. And again, we ask, what is the remainder when we divide"
233.86,242.82000000000002,"4 by 2? It's a 0. So we prepend the 0 to this binary string we're building up. Again,"
242.82000000000002,249.18,we divided by 2. It's a 2. The remainder when we divide 2 by 2 is 0. It's an even number.
249.18,260.18,"Again, we divide 2 by 2. It's a 1. And the remainder when we divide 1 by 2 is a 1. And so this"
260.18,268.22,"is the string that we had eventually systematically, iteratively, built up with this loop here. And"
268.22,275.38,"num, after we divide this, is going to be 0, and then we break out of the loop. So the"
275.38,285.1,"binary representation of 19 was 1, 0, 0, 1, 1, base 2. We just kept it as a string. The parts"
285.1,292.94,that are in red boxes is us dealing with a negative number. So if the user wanted to convert
292.94,300.14000000000004,"negative 19 to a binary representation, this, if else, up here, says, is the number less than"
300.14000000000004,307.34000000000003,"0? If yes, let's set a negative flag to true. And let's just assume the user gave us a positive"
307.34000000000003,312.94,"number. So we convert that negative 19 to the absolute value of itself, positive 19. This"
312.94,319.66,"code goes through as if the user had given us a positive number. And then at the end, we would get"
319.66,326.46,"the same number as before, except that we're going to prepend a negative sign. So the negative,"
326.46,335.1,"so the binary representation of negative 19 is just negative the same thing. Okay. So that's,"
335.1,340.46,"that was where we ended up. We talked about these integers. But now what about fractions, right?"
340.46,346.46,"Integers seems really easy. There's a really easy, simple procedure algorithm, right? Recipe for"
346.46,351.58,"us to follow to get the binary representation. But what about these fractions? Oh, yeah, sorry."
352.29999999999995,357.41999999999996,"So how does the negative write? Everything's going to be a 0, 1. So how does it read the negative?"
359.34,364.94,"Here. Oh, we just, it doesn't read it. We just pretend like we were given a positive number."
365.65999999999997,368.46,And then we just do the same process over again.
369.26,375.73999999999995,"Okay, so the computer doesn't understand it. I mean, it, for the purposes of the algorithm,"
375.73999999999995,381.41999999999996,it doesn't need to know because the number will come out the same. We just flag it as being a negative
381.41999999999996,386.06,"number. And then at the end, we say, hey, we were actually given a negative number. So let's just"
386.06,391.5,pop this negative sign right in front of it. Okay. And then when we talk about like the powers that
391.5,398.14,"like two is, but two, like are we like going left to right like descending powers or ascending powers?"
399.1,404.38,We are actually doing ascending when we're building up the string because we're going right to left.
