Start Time,End Time,Text
0.0,18.96,"Okay, so let's get started on today's lecture. Last lecture I left you off with the promise"
18.96,23.36,"of bigger and better algorithms to do what we've been trying to do, which is to approximate"
23.36,28.88,square roots and things like that. So today we'll be the introduction of our last algorithm
28.88,34.0,"for a bit before we'll start talking about more Python syntax, but today we're going to introduce"
34.0,39.44,"the bisections search algorithm. Okay, but before we get into that, let's try to remember where we"
39.44,46.239999999999995,left off last time. So last time we talked about floating point numbers and then we talked about
46.239999999999995,52.879999999999995,"approximation algorithms, right? So the reason why we talked about floating point numbers is because"
52.879999999999995,57.28,"we wanted to come up with an algorithm that was better than guess and check, right? guess and check"
57.28,63.6,"was really limiting. We were basically limited to some exhaustive number of potential solutions,"
64.32000000000001,70.0,but we didn't just want to have an exhaustive set to look through for a solution. We wanted to be
70.0,76.0,"able to actually come up with an approximation to solve our problems, right? And so we talked about"
76.0,80.88,"floating point numbers because we said, well, instead of having, for example, integer increments when"
80.88,88.32,"we searched for square roots of values, let's try to have smaller increments. Okay? And so if we"
88.32,93.6,"have smaller increments than an integer, well, we were starting to look at incrementing by point"
93.6,100.88,"one or point two five or point zero zero one, whatever we want. And so then since we started talking about"
100.88,105.12,"these floating point numbers, it was important to kind of understand what happens behind the scenes."
105.12,109.84,"And we saw that these floating point numbers can't actually be represented in memory directly,"
109.84,115.92,"exactly, right? There's always for the majority of the numbers, there's going to be some sort of"
115.92,121.52000000000001,rounding that happens when that number is stored in memory. And the rounding is very small. It's
121.52000000000001,128.64000000000001,"something like 10 to the negative 10, or sorry, 10 to, 2 to the negative 32, which is approximately 10"
128.64000000000001,134.24,"to the negative 10, which seems small, but we saw even with just a loop that added point one to itself"
134.32000000000002,141.36,"10 times, we were already getting very surprising results, right? So the approximation method"
142.56,147.60000000000002,"introduced the idea of yes, we can't get an approximation for the square root of a number,"
147.60000000000002,154.4,"but we can't check for equality. We can't say I'm going to come up with this, this approximation,"
154.4,159.20000000000002,"such that, you know, this approximation squared or whatever problem we're trying to solve is exactly"
159.20000000000002,163.60000000000002,equal to the number we're looking for. So we had to have a little wiggle room and that wiggle room
163.6,170.72,"came in the form of an epsilon, right? So we were approximating a solution by basically saying does"
170.72,178.16,"this solution come within plus or minus epsilon of my desired value? So we came up with a nice algorithm,"
178.16,183.12,"the approximation algorithm, and we tested on a bunch of different values, right? We were incrementing"
183.12,188.95999999999998,"a small increment a little bit at a time, and for the problem where we're trying to find approximate"
