Start Time,End Time,Text
0.0,18.16,"So last lecture, we started talking about the idea of decomposition and abstraction, and"
18.16,21.68,we talked a little bit about what that means and how it ties into what we've already
21.68,22.68,been doing.
22.68,27.12,"Today, we're going to do a real-world example of decomposition and abstraction, and then"
27.12,31.400000000000002,we'll see exactly how we can achieve this in programming.
31.400000000000002,37.72,"So let's start by talking about an example in the real-world, the smartphone."
37.72,43.16,"So a lot of us have it, but for a lot of us, it's really just a black box, right?"
43.16,44.16,"For me, I know it is."
44.16,49.0,"For most of the people in the world, the phone is a black box."
49.0,54.36,"We basically view the phone in terms of its inputs and in terms of its outputs, right?"
54.36,60.32,"So the phone has some buttons, you can scroll, you can touch things."
60.32,64.8,But we don't really know exactly how all of these buttons and scrolling and all these
64.8,68.16,internal workings actually do their job.
68.16,71.2,"And in fact, we don't need to know how they do their job, right?"
71.2,76.7,"To us as the user, all we really care about is the interface between us and what task we"
76.7,78.92,"want to achieve, okay?"
78.92,84.32,So what we need to know that interface is basically the relationship between the input
84.32000000000001,88.84,we give to the phone and the output we get.
88.84,91.48,"So when we push that button, the phone turns off."
91.48,96.52000000000001,"When we push this other button, the volume increases, okay?"
96.52000000000001,99.80000000000001,"And so that's the idea of abstraction, right?"
99.80000000000001,105.04,"The phone is basically abstracted away all of those hardware details, all of those implementations"
105.04,108.12,"that make it actually work for the user, right?"
108.12,111.84,So the user doesn't need to know how it works in order to use it.
111.84,117.52000000000001,"Now abstraction actually enables decomposition, what does that mean?"
117.52000000000001,125.08,"Well, once we abstract away details, we can have different manufacturers working on different"
125.08,130.92000000000002,"components of the phone, to build these different components."
130.92000000000002,135.48000000000002,And if different manufacturers are working to build these hundreds of distinct parts within
135.48000000000002,141.76,"the phone separately, they need to have some way to put these parts back together."
141.76,147.48,"And when they're working on their pieces separately, that's the idea of decomposition."
147.48,152.56,How do they know that what they're working on will actually fit in with the rest of the
152.56,153.56,components?
153.56,158.0,"Well, they use the idea of decomposition, they're basically following a specification, they're"
158.0,164.72,"following a set of inputs that may become into their component, and a set of outputs that"
164.72,168.95999999999998,maybe their component needs to give to other components.
168.96,174.24,And all these different manufacturers that are building these different parts need to
174.24,176.32000000000002,know is that interface bit.
176.32000000000002,179.84,They don't need to know how other manufacturers build their components.
179.84,185.36,All they need to know is what functionality those other components have.
185.36,189.04000000000002,And so all of these different manufacturers can build all these different components.
189.04000000000002,193.76000000000002,"The interfaces are going to be sort of standardized, so to speak."
193.76000000000002,196.20000000000002,And that's all that they care about.
196.20000000000002,201.04000000000002,"So once you know the interface, you can come together and put all these different components"
201.04000000000002,206.8,"together to work towards a common goal, as in to make a phone work."
206.8,210.68,"So this is true for hardware, as in the phone example, but it's also true for software."
210.68,215.04000000000002,And that's exactly what we will be doing in this lecture on functions.
215.04000000000002,219.28000000000003,We're going to achieve decomposition and abstraction in programming.
219.28,226.88,So treating code as a black box and making a large program kind of splitting it up into
226.88,229.96,these different self-contained parts.
229.96,230.96,OK.
230.96,234.68,"So in programming, we want to suppress details as well, right?"
234.68,239.12,"Not just in hardware, like with the phone, we want to suppress details in programming as"
239.12,240.12,well.
240.12,243.6,And we do this using this idea of abstraction.
243.6,251.95999999999998,"So we will be writing code, as we have already been doing, with the thought that the code"
251.95999999999998,255.4,we're writing will be written only once.
