Start Time,End Time,Text
0.0,23.0,"So today marks the last lecture on the subject of sorting algorithms, or on the subject"
23.0,29.16,"of complexity, and specifically we will be talking about sorting algorithms."
29.16,33.56,So let's remember where we left off at the end of last lecture.
33.56,39.04,"We tried to look for elements within a list, and this is a really common problem in computer"
39.04,44.96,"science, where the list is basically a large data set that you might have gathered on,"
44.96,51.72,"I don't know, biology information, or physical experimental data, some big file of data,"
51.72,56.36,and one of the most common things you might want to do on such a file is to search for something
56.36,60.6,"within that file. Basically you'll read it in as a list, and you'll search for something"
60.6,66.24,of interest within this list. So we saw two algorithms to search for an element within
66.24,73.6,a list. The first was just a straight-up linear search. That linear search we did on an unsorted
73.6,79.72,"list, and we also did it on a sorted list. And what we saw was at the worst-case time complexity"
79.72,85.28,for searching for an element within a list using linear search was theta of n. That's
85.28,92.4,"the best that we could do. Now, we saw the binary search algorithm as an alternate way"
92.4,96.88,"to search for an element in a list, but the caveat to using the binary search algorithm was"
96.88,103.08,that we had to have a sorted list. We can't use this binary search algorithm on an unsorted
103.08,109.26,"list, because it will give us an incorrect answer. So assuming the list is sorted, binary"
109.26,114.76,search does a much faster job at finding the element within a list. It does it in theta
114.76,122.12,"of log n time, which is faster than theta of n. The timings through a code that we did"
122.12,126.84,"showed this, counting the number of operations showed this, and then the theory also showed"
126.84,135.32,"this. Alright, so clearly it is better to use binary search because it's faster, but when"
135.32,141.6,"does it make sense to use binary search? So the idea is, given some sort of data set,"
141.6,147.96,"write some list of elements, we would have to first sort them in order to do binary search."
147.96,154.04,"So the question then becomes, the time that it takes for us to do a sort. Plus the time"
154.04,159.04,that it takes for us to use binary search to look for an element within that list should
159.04,164.2,"be less than the time that it takes for us to do linear search. In that case, it makes"
164.2,169.48,sense for us to do a sort and binary search. This implies that the time it takes for us to
169.48,177.32,"sort is less than the subtraction, so theta of n minus theta of log n. So this implies"
177.32,183.64,that we can sort a list in less than theta of n time. That means we can sort a list without
183.64,189.23999999999998,"even looking at each element in the list. And that's not possible, right? We have to at"
189.23999999999998,193.83999999999997,least go through each element in the list one at a time to determine that that list is
193.84,200.08,"sorted to begin with, right? So even in the best case scenario to sort a list, that's"
200.08,207.72,"going to be theta of n time. So clearly, this will never be true. So then the question becomes"
207.72,212.76,"why do we bother doing binary search in the first place? Well, that's because oftentimes"
212.76,220.4,"if you download a data set, or you want to do some search on some list or some data set"
220.4,224.92000000000002,"that you get, most of the time you're not going to want to do it just once. You're going"
224.92000000000002,231.16,"to want to sort that list one time, and then do a whole bunch of searches for a whole bunch"
231.16,237.08,of different things within that list. So if we can somehow amortize the cost of doing one
237.08,245.76,"sort over K different searches, as K gets really, really big, it makes sense to do binary"
245.76,252.35999999999999,search on the sorted list rather than just to look through using linear search K different
252.35999999999999,256.96,"times, right? So then that time to do the sort only once kind of gets absorbed and goes"
256.96,263.58,"to zero as the number, the K number of searches goes to some really big number, right? So"
263.58,270.28,"clearly, we've shown that if you want to do many searches on a data set, it makes sense"
270.28,275.15999999999997,"to do the sort only once. All right, so now we're going to look at a bunch of different"
275.16,279.0,"sorting algorithms. We're going to start with some really bad ones, and then we're going"
279.0,283.92,to work our way up to what is considered one of the best sorting algorithms the best that
283.92,290.52000000000004,"we can do. So let's begin by showing a really, really bad sorting algorithm, and there are"
290.52000000000004,295.36,actually competitions where people can come up with really bad sorting algorithms that kind
295.36,302.72,"of sort lists in a really weird way while being really bad, still making forward progress,"
302.72,308.8,"and this is one of them. So this one is called Bogosort, coming from Bogos sort, also called"
308.8,314.32000000000005,"random sort or monkey sort. So the idea here, and I'm going to use these cards as we look"
314.32000000000005,319.48,"at these different sorting algorithms, the idea of Bogosort is that we're going to use randomness"
319.48,328.72,"to help us sort the list. So if we want it to sort a list or a deck of cards, for example,"
328.72,332.36,"the idea of Bogosort is that we're going to take all our cards, we're going to throw"
332.48,336.48,"them up in the air, we're going to pick them up as they land, and we're going to check to see"
336.48,340.72,"if they're sorted. If they are, we're done. If they're not, we're going to repeat the process."
340.72,344.08000000000004,"We're going to throw them up in the air, let them fall where they may, and then we're going"
344.08000000000004,351.36,to check if they're sorted. So the code would look something like this. It takes in a list
351.36,357.56,"L, and it says, while the list is not sorted, we're going to call this shuffle function from"
357.6,362.8,"the random library, and the shuffle function just re-shuffles or rearranges the elements"
362.8,369.8,in the list at random. So let me show you how that looks like. So here's the sorted function.
379.0,386.72,"I'm going to run it. So it starts out with this list of obviously elements not in order,"
386.72,393.04,and it took about 0.2 seconds to just randomly keep re-shuffling the elements of the list
393.04,398.04,"to give me, for them, to become in sorted order. So it did about 30,000 shuffles, and if"
398.04,403.28000000000003,"I run it again, it will take a completely different amount of time each time it's run. So now"
403.28000000000003,407.92,"it was really fast, but if I keep running it, one time I ran it last night, it took about"
407.92,414.92,two seconds. So you can see it's just random. So what's the complexity of this function?
414.92,420.12,"Clearly, it's not going to be very good at best. So in the best case scenario, let's say"
420.12,426.08000000000004,"my input list is already sorted. So in the best case scenario, the theta would be just theta"
426.08000000000004,430.88,"of n, where n is the length of the list, because we have to look at each element once to make"
430.88,436.64,"sure that it's in its rightful place. But in the worst case scenario, the theta complexity"
436.64,442.08000000000004,"of this is unbounded, so infinity. Because at worst case, we're going to be super unlucky,"
442.08,448.84,"and we're just never going to get the elements in a sorted order. So clearly, not a very"
448.84,453.47999999999996,"good sorting algorithm. If you go to the Wikipedia page for this, it'll give you a whole bunch"
453.47999999999996,461.0,"of other examples of algorithms similar in this spirit of being bad, but making forward"
461.0,467.28,"progress towards an answer. So next, we're going to look at a different sorting algorithm,"
467.28000000000003,473.16,"a bubble sort. And it's one of the most popular sorting algorithms, not because it's good,"
473.16,479.76000000000005,but because people really like to make fun of it. So it's best to understand it. So the idea
479.76000000000005,486.72,of bubble sort is that we're going to start with an originally un-sorted list. And like
486.72,494.08000000000004,"I said, I'm going to use this as an example. And we're going to try to compare consecutive"
494.08,502.68,"elements one at a time. And as we do so, we're effectively going to bubble up the largest"
502.68,509.56,element towards the end of the list. So we're going to start our first pass on this clearly
509.56,514.3199999999999,un-sorted list. And we're going to compare the first two elements. If the element at index
514.3199999999999,522.0,"i is smaller than the element at index i minus 1, then I'm going to do a swap. So here they"
522.0,526.0,were. So I did a swap. Then I'm going to compare the next set of elements. So these two are
526.0,531.92,already sorted. These two are not. So I'm going to swap them. These two are not. I'm going to swap
531.92,536.4,them. These two are not. I'm going to swap them. They're not. I'm going to swap them. And these
536.4,542.32,two are not. And I'm going to swap them. Okay. Just put it over because that table got in the way.
543.84,551.04,"All right. So after I finished my first pass, this number 11 effectively bubbled up from wherever it"
551.04,556.48,"was towards the end of the list, the place where it belongs, basically. It belongs at the end of"
556.48,562.9599999999999,"the list because it's the biggest number. Since I've done at least one swap on that previous run,"
563.5999999999999,569.12,"I'm going to go through again. Because in the process of doing a swap, I might have disarranged"
569.12,574.48,something that was already sort of in order. So now I'm going to start all over again. I'm going
574.48,579.76,"to say, are these two in sorted order? They are. Are these two? No. So I swap. Are these two"
579.76,588.16,"no. So I swap. Are these two? No. So I swap. I swap. And I swap. And now after two passes, I have"
588.16,597.52,"effectively bubbled up the next biggest number. All right. You guys can see. Okay. Next time through,"
598.72,606.3199999999999,"next time through, I'm going to have to go again because I am, I did one swap last time. So again,"
606.32,610.4000000000001,"I'm going to compare these two. I need to swap them. These two, I need to swap them. These two,"
610.4000000000001,614.8000000000001,I need to swap them. Swap them. Swap them. Swap them. And these are in order. And these are in order.
616.0,620.96,"Again, five in the four needs to swap. Five in the one needs to swap. Five in the zero needs to swap."
620.96,625.2,Five in the two needs to swap. These are in order. These are in order. These are in order. Four in
625.2,630.24,the one needs to swap. These two need to swap. These need to swap. Order ordered ordered ordered ordered.
630.24,636.0,"Next, these two need a swap, these are okay, these are okay, and so on."
636.0,643.44,"And now that I've not, I'm going to do one final check, these are all in order, right?"
643.44,650.08,"So now that I haven't done any more swaps, I can say that this list is now in sorted order."
650.08,655.64,"So with each pass, I'm bubbling up the biggest element towards the end of the list."
655.64,665.48,"So at the end of n passes, the top, the last n elements, will be in sorted order, okay?"
665.48,668.4399999999999,So the code looks something like this.
668.4399999999999,675.8,I've got a Boolean flag here that keeps track of whether or not I have done a swap.
675.8,680.3199999999999,"If I've done a swap, then I know I need to go through and double check that everything"
680.32,686.24,is still in order by comparing index i and i minus 1.
686.24,692.0400000000001,"So to do that, we've got a for loop that goes through from 1 all the way up to the end"
692.0400000000001,696.4000000000001,of the list because I'm going to compare element at index i with i minus 1.
696.4000000000001,699.6800000000001,"If I started at 0, we'd get an index out of bounds error."
699.6800000000001,701.6,So that's why I start with 1 over there.
701.6,706.32,"And then the inside of the for loop just checks if the element at, I guess j, I use j instead"
706.32,709.7600000000001,"of i, j and j minus 1 are in the right order."
709.76,714.08,"Now, obviously they are, but when I first started this demo, they were not, right?"
714.08,719.24,"So as long as this j minus 1 and j are not in order, do a swap."
719.24,725.36,"So here I just change, I use this sort of, this, this tuple trick here to do the swap of"
725.36,728.68,element j minus 1 and j.
728.68,733.52,"And I also reset the Boolean flag that I did the swap to true, okay?"
733.52,739.72,"And this goes through until I don't do any more swaps, and then the code will not"
739.72,743.08,go through the while loop anymore.
743.08,749.24,So let's print how this actually looks like when we run it on our list.
749.24,754.5600000000001,So here I have my original list.
754.5600000000001,764.84,"Each set here, delineated by this line break, represents one loop of my while loop."
764.84,767.64,"So this thing here, right?"
767.64,770.08,One iteration of my while loop.
770.08,777.22,And each line within here represents one iteration of my for loop.
