Start Time,End Time,Text
0.0,13.68,"All right, let's get started."
13.68,19.72,Last lecture we began talking about an entirely new topic in computer science and we
19.72,25.72,"have begun learning about how to figure out the runtime of our programs, right?"
25.72,32.24,So we looked at how to actually time the program by figuring out exactly how long it takes
32.24,34.8,and then how to count the number of operations in the program.
34.8,39.08,Today we're going to do very same thing to begin with.
39.08,42.879999999999995,So for the first half of the lecture we'll time a bunch of programs and we'll count the
42.879999999999995,47.599999999999994,number of operations just like before but we're going to do them in a context of slightly
47.599999999999994,53.879999999999995,"different, slightly more interesting programs or functions involving just pure numbers"
53.88,58.88,as our parameters and then functions that involve lists as our parameters.
58.88,62.56,That'll be first half of the lecture and then from there on we're going to look at the
62.56,67.08,idea of order of growth which is kind of what we're building up this set of lectures to.
67.08,72.12,"And then the order of growth, there'll be a little bit of math, a little bit of graphing,"
72.12,79.36,but not too much and then we're just going to see how to actually evaluate the order of
79.36,82.12,growth of functions from there on out.
82.84,88.2,So let's begin by just figuring out the run time of our programs.
88.2,93.24000000000001,This was a really quick and easy way to first figure out exactly how long our programs take.
93.24000000000001,98.76,So last lecture we imported this time module and we're doing that again this time but instead
98.76,108.84,"of actually running the time function that we had seen last lecture here, instead of running"
108.84,115.88000000000001,the time function which gave us this sort of global absolute time since some date in the
115.88000000000001,120.08,"past, we're going to run this slightly different function called performance counter and this"
120.08,126.4,is what is typically used in the real world to figure out how long an actual program or
126.4,128.48000000000002,a function takes to run.
128.48000000000002,133.4,The reason we're using this is because it's more accurate so the time.time function that
133.4,139.84,we use last lecture gave us maybe precision to one time sent negative three or something
139.84,142.68,"very, very big like that."
142.68,148.24,"The performance counter can actually give us precision to something that's a lot, lot smaller"
148.24,151.64000000000001,so maybe one time sent negative eight or something very small.
151.64000000000001,158.20000000000002,So we'll be able to see the timings of some functions that were basically zero in the
158.20000000000002,159.88,last lecture.
159.88,165.68,"Okay, so just a quick review of how we actually get the time that a function takes to run,"
165.68,171.16,we run this performance counter time and this one gives us not an absolute time but more
171.16,176.76,"of a shorter time frame, not from some time in the past."
176.76,181.35999999999999,"And the performance counter is very useful when we're getting these DTs, right, the difference"
181.35999999999999,182.96,in some times.
182.96,187.68,So we're running the performance counter to get the quote unquote starting time.
187.68,192.56,"We run the function, we run the performance counter again to get the quote unquote stopping"
192.56,196.12,"time, subtract the starting time to get the DT."
196.12,202.4,"Okay, so and then we will print that time to see how long the function actually takes to"
202.4,203.4,run.
203.4,205.72,"Yeah, that's the way I said."
205.72,212.44,"Okay, so we're going to look at two different functions than last time, but they're going"
212.44,216.64000000000001,to have sort of the same overarching themes that we saw last lecture.
216.64000000000001,220.96,"So the first function we're going to look at is called convert to kilometers, taking"
220.96,225.4,in some miles and returns the value in kilometers.
225.4,228.88000000000002,And the second function is a function named compound.
228.88000000000002,231.88000000000002,So this one should seem very familiar.
231.88000000000002,235.60000000000002,It will bring flashbacks to problem set one.
235.60000000000002,241.56,"It's a function that takes in a monthly investment, an interest rate for the month, and some number"
241.56,244.88000000000002,of months to invest that much.
244.88,248.72,And it returns how much money you've made over those number of months.
248.72,254.12,"So you can see here, you have an total initialized, a loop that goes through that many months, and"
254.12,258.4,"it updates the total based on the interest rate and how much money you have there right now,"
258.4,261.12,plus whatever you've invested for that month.
261.12,265.04,"Okay, so the three questions we're going to answer just like we answered last lecture is"
265.04,270.84,"how long, natural seconds does it take to run these functions, which input parameters does"
270.84000000000003,273.28000000000003,the function actually depend on?
273.28000000000003,279.6,"And do these two functions actually run for different amounts of time, and sort of what is"
279.6,280.6,"that difference, right?"
280.6,286.16,"Does one run in 12 seconds, and the other one run in 0.5, what is the actual time that it"
286.16,288.84000000000003,takes for them to run?
288.84000000000003,293.8,"So this is our code, so these are the two functions before we go on."
293.8,296.68,Let me just show you how we're creating the inputs.
296.68,300.72,"So just like before, we're creating a list of all of the different inputs we're going to run"
300.72,302.64000000000004,the function with.
302.64000000000004,309.12,"So here I've got this Ln that will contain the numbers 1, 10, 100, 1000, and so on."
309.12,315.0,"And these are going to be the parameters to my function, one at a time, of course."
315.0,320.16,"And then I've got my loop here for each one of those inputs, 1, 10, 100, 1000, I'm just"
320.16,322.52000000000004,"going to run my function, right?"
322.52000000000004,328.6,"So here I'm measuring the time it takes, and then I'm going to report the time that it"
328.6,331.44,took to run the program.
331.44,336.56,"And just for fun, I'm also going to report how many times this program could run in one"
336.56,337.76000000000005,second.
337.76000000000005,341.76000000000005,"Because for me, it was a little bit hard to read, you know, one time instead of negative, you"
341.76000000000005,347.16,"know, 8 or something like that, but it was a lot easier for me to see this big number"
347.16,351.8,for how many times that function could have run in one second.
351.8,360.6,"So here I've got a convert to kilometers, so I'm going to run it."
360.6,367.52000000000004,"And we're going to see, it's this right here, how long the function actually took."
367.52000000000004,372.28000000000003,"So last time we ran a program that was really simple like this, all of it basically said"
372.28000000000003,373.6,"it took zero seconds, right?"
373.6,379.88,It was just so fast that that time.time function wasn't able to pick up that precise time
379.88,383.88,"difference, but this performance counter can, right, which is a lot nicer."
383.88,390.15999999999997,"So now we see that no matter what the input, it looks like the time is pretty much the same,"
390.15999999999997,391.15999999999997,right?
391.15999999999997,395.96,"Three times ten negative seven seconds, no matter what the input is, right?"
395.96,399.12,That was expected.
399.12,402.48,Now what about the compound function?
402.48,406.12,"This one's going to be a little bit more interesting, because there are actually three parameters"
406.12,408.24,"to this function, right?"
408.24,413.64,So what we're going to do is change each one and see which one of those parameters actually
413.64,416.76,has an effect on the runtime.
416.76,425.36,"So here, this bit, is going to fix my interest rate and fix the number of months, and I'm going"
425.36,428.84000000000003,to change the amount I invest every month.
428.84000000000003,431.16,"So if I run that, that was pretty fast."
431.16,436.12,"Again, we look at the results here, and no matter how much I invest every month, it looks"
436.12,439.48,"like the program doesn't really change how long it takes to run, right?"
439.48,446.4,"It's always about one times ten to the negative six seconds to run, all right?"
446.4,448.56,What if I change the interest rate?
448.56,451.36,So this one was a little bit harder to change.
451.36,458.56,"What I settled on this as the thing I'm varying, sorry, I'm varying it in this way."
458.56,465.16,"So it's going to be 1.1, or 1.01, or 1.001."
465.16,469.64000000000004,"That's what I'm going to invest, the interest rate for whatever I'm going to invest in,"
469.64000000000004,476.24,and I'm going to fix $10 as my investment per month and fix the 12 months again.
476.24,484.16,"So if I run that same deal, it looks like changing this investment isn't really making much"
484.16,489.76000000000005,"of a difference in how long it takes the program to run, all right?"
489.76000000000005,492.08000000000004,One last parameter to try.
492.08,497.52,"So now I'm going to fix the initial investment to $10 a month, and I'm going to fix my interest"
497.52,505.2,"rate to this per month, and I'm going to vary how many months I'm going to invest this."
505.2,511.59999999999997,"So again, this N will be 1, 10, 100, 1,000, 10,000, and so on."
511.59999999999997,514.04,So let's see what this is going to do.
514.04,517.76,"All right, it's doing something different than the other two, because it hasn't finished"
517.76,522.2,"running yet, so it's still working on this last one down here."
522.2,526.04,"But we can see that more interesting things are happening now, right?"
526.04,531.76,"So here I've got, initially it's a little bit hard to tell for those small numbers, which"
531.76,537.24,"is fine, but luckily we're able to run it for a bunch of inputs."
537.24,544.52,"So starting from about here, when I start investing my money over 1,000 months, 10,000 months,"
544.52,547.72,"100,000 months, and so on, it looks like we can kind of see"
547.72,548.72,a pattern.
548.72,554.84,"Again, for 1,000 months, the program takes about 5 times 10 to negative 5 seconds to run."
554.84,561.52,"If I increase the number of months by 10, it takes 5 times 10 to negative 4 seconds to run."
561.52,567.84,"And then as my input increases by 10, the number of months, my time to run seems to increase"
567.84,569.76,"by 10 as well, right?"
569.76,577.36,"So 0.005, 0.05, 0.07, 0.8, something like that."
577.36,582.08,"Okay, so this is from a previous run."
582.08,587.08,"Of course each run will be different, because we're just purely grabbing the time that the"
587.08,588.88,program took to run.
588.88,593.52,"So the actual time will be different, but few things to notice."
593.52,597.96,"So Python actually reported the time it took the program to run in scientific notation, which"
597.96,599.12,is kind of cool.
599.12,603.92,"So this is 4.3 times 10 to the negative 6, so it knew how to show it to me like that, so"
603.92,608.16,"it's not, it doesn't have a bunch of zeros in there."
608.16,617.4,"And then the observation, as you might have guessed, for this convert to kilometers, was independent."
617.4,621.44,"So this is the kilometers, not the compound function."
621.44,627.08,"But then the compound function here, this is again from a previous run, we can make a"
627.08,629.08,few observations.
629.08,639.44,"So the first was that the time only changed with input when we changed end months, right?"
639.44,644.84,"When we changed the initial investment or the interest rate, the program just basically"
644.84,646.76,took the same amount of time to run.
646.76,651.12,So it was only end months that actually made a difference for us.
651.12,657.6800000000001,"Second observation, again something we noticed, is as we increase the number of runs by 10,"
657.6800000000001,661.2,the time it takes the program to run also increases by 10.
661.2,664.2,"Again, something we've talked about."
664.2,675.24,And the last observation is that we have this relationship very apparent as the input is
675.24,677.24,"really big, right?"
677.24,682.98,"As the input is small, I think I mentioned this last time, if for some reason my computer"
682.98,689.22,updates or decides to dedicate some resources to running an app in the background for
689.22,690.22,whatever reason.
690.22,696.22,"As it's trying to figure out the compound function with an input of one, this number could"
696.22,698.0600000000001,"be changed dramatically, right?"
698.0600000000001,702.66,Because two times something negative six can be affected a lot by just a little bit of
702.66,704.98,time dedicated to something else.
704.98,711.1,"Whereas four seconds or 14 seconds, if my computer dedicates a little bit of time to something"
711.1,714.9,"else, that four or 14 won't be affected as much, right?"
714.9,721.02,"So when the numbers are big, that's when we can see the behavior of our function a lot"
721.02,722.02,"more clearly, right?"
722.02,726.74,"Not when the numbers are small, okay."
726.74,732.1,So now I'd like to look at some more functions.
732.1,737.9,"These functions are going to have the input being a list as opposed to just numbers, right?"
737.9,741.74,"You've seen a bunch of examples with numbers, but let's see what happens when my input is"
741.74,743.42,a list.
743.42,745.98,So here's a very simple function.
745.98,752.18,"It takes in a list L, and it sums all of the elements in the list L."
752.18,755.14,So we've seen this a bunch of times already.
755.14,760.86,"We initialize a total to be zero, we iterate through each element in L, and we keep our running"
760.86,767.6999999999999,"total by just adding the element to that total, right, pretty simple, and we return it."
767.7,773.1400000000001,Now how do we actually run this function with a whole bunch of different inputs?
773.1400000000001,775.46,"Well, that's what we're going to see next."
775.46,780.4200000000001,So this bit here is exactly the same as before.
780.4200000000001,787.9000000000001,"It's actually creating for us the list of 1, 10, 100, 1000, 10,000, and so on."
787.9000000000001,793.94,"But clearly the number 10 cannot be an input to this function, right?"
793.94,797.5,"Because this function is expecting a list, right?"
797.5,801.86,"So L cannot be 10, it needs to be a list with some things in it."
801.86,808.54,"So instead, what we're going to do out of that number, 1, 10, 100, 1000, and so on, we're"
808.54,812.5,actually going to make a list with just some random dummy numbers in it.
812.5,814.82,I don't actually care what these numbers are.
814.82,820.94,"So let's just make them be the number 0 to 9, 0 to 99, 0 to 999."
820.94,825.42,"And in effect, each one of these lists will then have one element in it, 10 elements in"
825.4200000000001,829.58,"it, 100 elements in it, 1,000 elements in it, and so on."
829.58,831.7800000000001,Everyone OK with that?
831.7800000000001,833.7800000000001,"So the input is now different, it needs to be a list."
833.7800000000001,838.3800000000001,We're just creating a bunch of lists of varying lengths.
838.3800000000001,843.1400000000001,So the relationship between these lengths are that the lists are 10 times as big as the
843.1400000000001,846.34,"previous list, right?"
846.34,849.0600000000001,So then now I have my input list here.
849.0600000000001,852.5000000000001,"I do the exact same thing as before, not yet."
852.5,856.66,I run the performance counter to create my starting time.
856.66,858.94,"I run my function, and I get the dt."
858.94,862.22,And I report the exact same thing as before.
862.22,874.86,"All right, so let's run that down here, running, running, running."
874.86,876.38,"Again, we have to wait a little bit."
