Start Time,End Time,Text
0.0,16.46,"So, let's start today's lecture. We're going to be looking at sort of three different"
16.46,21.94,topics. The first is we're going to look at a new object type called a string. We briefly
21.94,27.18,mentioned this word last lecture. Then we're going to see how we can write programs that
27.18,33.9,"start to get input from the user and show the user output. And finally, we're going to go"
33.9,41.86,into writing a little bit more interesting programs that make decisions based on decisions
41.86,47.14,"that we actually input in the code. So, not decisions spontaneously, but things that we"
47.14,52.46,"will code within our programs. But before we go onto these topics, I just wanted to do a"
52.46,57.06,quick recap of what we learned last lecture just to make sure we're all on the same page.
57.06,62.06,So we introduced the idea of an object. And every object in Python has a specific type.
62.06,68.26,And the type tells Python the kinds of things you're allowed to do with that object. We talked
68.26,72.38,"about once you have objects, you can actually assign these objects to variables and these"
72.38,78.02000000000001,"variables basically bind a name to the object in memory. With objects, you can also create"
78.02000000000001,83.5,expressions by combining objects together. And the expressions can either be things that
83.5,90.74,"we've seen in math, like parentheses and with object operator object. Or they can be things"
90.74,96.5,"like this, which was kind of introduced in programming. It's an expression, but it's kind"
96.5,102.9,of a different one. It's more like a command. Or I'm asking Python to do this operation for
102.9,109.42,"me what is the object that comes back from this operation. So today, I'm going to go over"
109.42,114.62,this sort of memory diagram we started drawing last lecture and I'm going to use this memory
114.62,122.38,diagram today as well. Here's some lines of code that we wrote last lecture. So we wrote a
122.38,129.42000000000002,"line in Python that created an object. It's value is 3.14, a float in memory. And the name"
129.42000000000002,139.1,"we gave this object was pi. So just the name pi, pi. Radius equals 2.2 is another assignment"
139.1,144.98,statement in Python and it binds the name radius to the value 2.2 in memory. And once
144.98,149.7,"we've created these variables, we can just invoke their names. We can use their names to tell"
149.7,156.74,"Python to grab for me the values from memory. So when Python sees pi times radius star star 2,"
156.74,162.1,"that means take pi multiply with the radius squared. So behind the scenes, Python goes grabs"
162.1,168.66,"the value 3.14 from memory, replaces pi with that value, grabs 2.2 from memory, replaces radius"
168.66,174.66,"with that value, does the operation according to the president's rules. And then that expression,"
174.66,182.9,"the thing on the right hand side of this equal sign, becomes a value. That value is then created"
182.9,188.57999999999998,as a new object in memory right here. And that object in memory is then bound to the name area.
188.57999999999998,195.9,"That's exactly what this assignment statement said. And we can do something like this in Python,"
195.9,201.1,"which we can't actually do in math. If we did this in math, the expression would basically say 0 equals"
201.1,207.70000000000002,"1. But in Python, it's totally fine because again, we evaluate the thing on the right hand side of"
207.70000000000002,212.02,"the equal sign. So on the right hand side of the equal sign, we say I want to grab the value of"
212.02,220.54000000000002,"radius, so 2.2, add 1 to it, 3.2, create this object in memory, here I have a whole new object in memory"
220.54,227.29999999999998,"3.2, and then assign it to the name radius. So I've lost the binding from the original 2.2, and"
227.29999999999998,235.66,rebound the name to 3.2. So we're not modifying objects in memory. We're creating new objects in memory
235.66,240.82,whenever we do such operations. We're going to see how we can modify objects way into the future.
240.82,248.82,"And just for completion, when we have a line that says var is equal type 5 multiplied by 4, Python"
248.82,254.14,"also sees this as an expression. And so as an expression, it has a value. So the right hand side of"
254.14,261.82,"this equal sign says, well, I'm going to sort of systematically evaluate this, and say what's 5 times 4? It's 20."
261.82,269.34,What's the type of 20? It's an integer. And so that's what the right hand side evaluates to an integer. And I'm going
269.34,278.38,"to bind that value int to the name var. So var is another variable name, and its value is int, right? The type of"
278.38,286.65999999999997,"my object, which is a little strange, right? So far, we've kind of just put numbers in our memory, but we can put any object type in memory."
286.65999999999997,296.78,OK. So let's move on a little bit into the new object type called a string. So a string is actually a sequence of case sensitive
296.78,305.02,"characters. The characters can be anything. We have lower case letters, upper case letters, the numbers on your keyboard, the special"
305.02,316.53999999999996,"characters you see on the keyboard. Even the enter, when you do a new line, or a tab has a special character associated with it. And the way we tell Python, we're creating an object of type"
316.53999999999996,325.21999999999997,"string is by enclosing the characters we want to be part of that object in these quotation marks. So when Python sees the quotation mark, it knows"
325.21999999999997,334.02,"you're creating a string object. So here I'm creating the string object, which has the lower case letter M, lower case letter E. And here I'm"
334.02,362.02,"creating the string object, which has the lower case Y, lower case O, and lower case U letters. And these objects are things in Python. And we're just going to give them a handle, a binding with some more convenient variable names, A and Z. So in memory, the way this would look in a little memory, memory diagram is we would have the string characters ME bound to the variable A. So basically what we've seen before."
362.02,383.02,"All right, so now what are some things we can do with strings? Well, some really common operations are that we can concatenate strings or we can repeat strings. So here I'm not going to put the Z in memory. You can kind of imagine how that would look like. But let's say I create now a variable B equals the letters and YCLF."
384.02,398.02,"What if I do a plus operator between these two strings? The plus operator tells Python that I'm going to take these two strings, the individual characters in each string, and kind of just put them together to make one new object that is all of these letters put together."
399.02,421.02,"So C is equal to A plus B is another assignment operator. And on the right hand side, we have an expression plus operator between two objects. It's going to put ME, which is the C letters and the YCLF, the B letters altogether to create a new object, which I then give a handle or a binding C."
422.02,434.02,"So from now on, anytime I want this particular string of characters, and we MEMY as YCLF, I can just invoke the name C in my program. That's just the variable name that I gave it."
