Start Time,End Time,Text
0.0,17.16,"All right, so, hello, everyone, let's get started."
17.16,22.080000000000002,"This is lecture 10, so last lecture, we introduced two new data types."
22.080000000000002,27.64,"We talked about a data type called a tuple, and a data type called a list."
27.64,31.84,"So today, we're not going to talk about tuples anymore because they were pretty straightforward."
31.84,34.96,"A lot of operations you could do with strings, you could do with tuples."
34.96,36.88,They were immutable objects.
36.88,40.32,"That means once you created them in memory, you couldn't do anything to change them."
40.32,46.44,"So they were, I guess, pretty boring except that you could populate tuples with objects that"
46.44,47.96,were of any type.
47.96,53.64,So you could populate a tuple with integers and floats and bullions and other tuples all at
53.64,55.8,the same time.
55.800000000000004,60.68000000000001,We introduced lists last time as well as something that was really similar to tuples and
60.68000000000001,64.72,strings in terms of manipulations.
64.72,69.24000000000001,"List were also nice because you could populate them, again, with any kind of data objects,"
69.24000000000001,71.56,"just like you could tuples, okay?"
71.56,76.2,"Today, what we're going to focus on, though, is the idea of mutability when talking about"
76.2,81.2,"lists, okay, which is something new we have never talked about this idea before."
81.2,85.44,So this lecture is going to be pretty heavy on kind of that idea and a little bit heavy
85.44,92.2,on syntax and things like that to kind of remind you of how to manipulate these compound
92.2,93.2,data types.
93.2,97.88,"So please, if there's any questions, feel free to stop me and then I can go over what I just"
97.88,100.64,talked about if there was anything confusing.
100.64,106.88,So this slide is basically a copy of the slide we had on lists last lecture.
106.88,111.92,It shows a bunch of different operations that you can do with lists.
111.92,115.36,"They're very similar to operations that you can do with strings, right?"
115.36,117.8,"So here, I'm just creating an empty list."
117.8,123.24,"I'm creating a list with a bunch of elements in it, so here we can see that this list contains"
123.24,127.28,"four elements and they are all of different types, right?"
127.28,130.68,"This is an integer, this is a string, this is an integer, and this is another list."
130.68,135.51999999999998,And that's totally okay to do with these data types.
135.52,140.04000000000002,"Creating all of these operations, getting the length, indexing, slicing, concatenation,"
140.04000000000002,147.08,"getting the max, all that should be a review as well as iterating a for loop over the elements"
147.08,148.28,in a list directly.
148.28,154.84,"So just like we iterated a for loop over characters in a string, this loop basically makes"
154.84,160.92000000000002,"e, our loop variable, take on the value of every single element in our list L."
160.92000000000002,167.12,"So what's new, the bolded thing here is something we haven't been able to do before and this"
167.12,173.96,basically goes into memory and changes the element at index 3 and L.
173.96,176.28000000000003,So that's kind of how we read that.
176.28000000000003,180.60000000000002,And it changes that element to have the value on the right hand side.
180.60000000000002,185.36,"So this is kind of, I mean, we read it in the same way as we do other assignment statements."
185.36,190.72000000000003,"We look at the right hand side and we evaluate that, in this case it's only a 10."
190.72,192.48,"But the left hand side looks different, right?"
192.48,195.04,It's not a variable name as we have seen before.
195.04,202.72,"But in fact, it's referencing the item in list named L at index 3."
202.72,206.76,"So that would be index 0, 1, 2, 3."
206.76,212.32,"This line of code down there, L, square brackets 3 equals 10 basically replaces this entire element"
212.32,216.92,here with the number 10.
216.92000000000002,221.88000000000002,"So on the next few slides, we're going to talk about what exactly this means inside memory"
221.88000000000002,229.56,because it's different than what we've been doing before.
229.56,238.60000000000002,So what exactly happens when we go into a mutable object like a list and we change an element
238.60000000000002,240.96,using this exact syntax?
240.96,245.04000000000002,"All right, well, let's draw our memory diagrams the way we have been in the past."
245.04,251.6,"Here's a little cloud representing the memory, L equals 243 creates this list for me in memory,"
251.6,256.96,"this list object, and L is the name that I'm referencing to this list object, right?"
256.96,260.88,So I'm basically binding the name L to that object in memory.
260.88,270.56,"L, square brackets 1 equals 5 tells Python to follow the name L to the object in memory."
270.56,274.48,"And then look up the index in the square brackets, in this case index 1."
274.48,276.8,"So that's 0, 1, this 4."
276.8,283.76,And take the element at this location and override it to be whatever the right hand side says.
283.76,285.16,So the right hand side says 5.
285.16,291.12,So basically we're going into memory and changing that middle element.
291.12,293.08000000000004,So this is different than strings and tuples.
293.08000000000004,297.76,We were not allowed to do anything like this with strings and tuples.
297.76,302.16,So let's look at an example on the next slide about what this means.
302.16,310.08000000000004,But the idea here I'm trying to get at is this object that we have changed one of the elements
310.08000000000004,314.8,"for which we've changed one of the elements, we've changed the object itself."
314.8,318.52000000000004,"We didn't make a new copy, we didn't make a version of that object."
318.52000000000004,322.12,We have changed the object itself.
322.12,330.88,So let's see maybe similar code that you might think does the same thing except with tuples.
330.88,334.4,"All right, so the first two lines of code are going to be the same."
334.4,341.71999999999997,"We've got L in memory being the object 2, 4, 3, or the name bound to the object 2, 4, 3,"
341.71999999999997,342.88,L square brackets 1.
342.88,350.2,So L at index 1 equals 5 changes that middle element to be a 5.
350.2,351.8,Same as the previous slide.
351.8,358.36,Now what if we had these two lines of code T is going to be a variable name that's bound
358.36,360.32,"to the tuple 2, 4, 3."
360.32,364.15999999999997,So notice this is now the tuple denoted in parentheses.
364.15999999999997,369.84,"If I say T is equal to 2, 5, 3, what happens?"
369.84,374.2,"Basically with this line, I am creating a new object in memory."
374.2,382.2,So there's my new object and I'm taking the name T and I'm binding it to this new object.
382.2,387.52,"The old object, 2, 4, 3 as a tuple, still remains in memory."
387.52,389.88,I have not modified that object at all.
389.88,390.88,It's still there.
390.88,393.08,I've just lost the binding to it.
