Start Time,End Time,Text
0.0,15.0,"All right, let's begin today's lecture."
15.0,21.0,"So last class, we began our adventure with creating our own data types."
21.0,29.0,Today we're going to start off with a little bit of a recap just to remind you some of the details about creating our own data types.
29.0,41.0,"And then we're going to build upon that coordinate class, we started in a last class, we'll build a circle class, and then we'll build some fraction data types."
41.0,50.0,"All right, so the first thing I'd like to mention is to remind you guys about sort of writing code from these two different perspectives."
50.0,65.0,"Right, so just like when we wrote functions, we were kind of writing the definition of the function, telling Python we have this function that we're defining abstractly, and this is what it does, and then we were calling the function later on in a program many, many times."
65.0,90.0,"Well, the same idea exists now that we're creating our own data types. We have to write code from the point of view of somebody who's implementing the class, so deciding all of these details that goes into creating the class itself, versus somebody who's just using a class that's already been written, where we create instances, a bunch of different objects that just happened to be this data type."
90.0,108.0,"So when we implement the class, what were some of the things we did? Well, we're telling Python that this object now exists, we're telling Python the name of the data type that we're creating, something we choose, we're deciding, we're making these design decisions, where we decide what attributes make up our class."
108.0,117.0,"So the attributes are either data, like the properties, what are the variables that make up your object, and the behaviors through methods."
117.0,129.0,"So that's implementing the class, and then when we're using the class, we're now saying, all right, let's assume that this class definition exists, there's this object that has these behaviors and these data attributes."
129.0,141.0,"Let's now create a whole bunch of objects that are of this type, and this is when we're creating these instances, and then manipulating all of these instances by running methods on them, things like that."
141.0,153.0,"So when we're implementing the class, this thing on the left-hand side, we're basically telling Python in abstract terms, what are the common properties and behaviors of our data type."
153.0,166.0,"And then when we're using the class, the thing on the right-hand side here, we're creating actual objects with very specific values for their data attributes that we can manipulate in different ways."
167.0,175.0,"So let's remember this coordinate class that we wrote last lecture. This is not new, but I will just go over it real quick."
175.0,185.0,"So first line here tells Python we're creating a new data type, its name is coordinate, and this keyword class tells Python we're creating the data type."
185.0,198.0,"The parentheses here is object, which stands for the Python object data type. So it's something really generic, and this in the parentheses here is the parent of our class."
198.0,214.0,"So anything that a regular Python object can do, the very basic things our class can do as well. Last lecture I mentioned, an example of such a basic thing is to take a variable name and assign it to an object type that we create."
214.0,235.0,"The very first method that we should write for a new data type that we create is the init method, and this I called a dunder method because it starts with double underscores before the init and ends with double underscores after the init, and that's the actual name of this method, double underscore init, double underscore."
235.0,252.0,So this method is like a constructor for the class. It tells Python how do you create an actual object of this type? So it's a function. It's just a function that works only with objects of type coordinate. So as a function it takes parameters.
252.0,274.0,"You can see it takes three parameters here, the self, the x and the y. Now when we're actually creating objects of type coordinate, we only pass in parameters for everything other than self, because self is a variable name that we use to describe having an instance of the class without actually creating one yet."
274.0,286.0,"Because remember what we're doing here in this definition, we're telling Python that this object type now exists. We're writing it as we speak, but we don't have an actual instance to manipulate yet. This is just the definition."
286.0,299.0,"And so the self tells Python that when we're writing this code, we're going to use the self variable name as sort of a formal name to be able to run this method on."
299.0,309.0,"So we're going to see in the next slide exactly what maps to self when we run it, but that's what the self means inside the parameter list here and here."
309.0,323.0,"And then beyond that, we use self within the init method to tell Python which one of these variables are actually data attributes versus which of these variables are just plain old variables as we've been working with."
323.0,340.0,"So any variable that's defined using self dot, so here I got self dot x and self dot y are data attributes. So that means any object I create that's of type coordinate. I know we'll have a variable x and y associated with it."
340.0,351.0,"Right, because I've defined these x and y is using self dot x and self dot y. Now in the last lecture, I actually had these parameter lists, the parameters in this list here be different."
351.0,362.0,"And then x and y, I think x val y val. And then I had self dot x equals x val where this x here to the right of the equal sign is the x from the parameter list."
362.0,371.0,"Right, but so in that sense, it doesn't matter what these variables are in the parameter list, they're just going to be the same over here on the right hand side of the equal sign."
371.0,382.0,"But the actual parameters, sorry, the actual data attributes are self dot x and self dot y of my object."
382.0,391.0,"Okay, so then we had one method that we wrote last lecture, it was called distance, and it took two parameters. So the first one, of course, is self."
391.0,402.0,"And this self represents the thing, this object that you're going to call the method on. I don't have that object yet, so I'm just calling itself for now, because this is the class definition."
402.0,409.0,And then this other parameter is some other coordinate object that I'm going to run this method on.
409.0,418.0,"So the body of distance says, all right, well, how do I find the distance between two points in the 2D plane? It's just pathagoras, right?"
418.0,428.0,"So that means grab the x value of one of my points, subtract the x value of the other point, square them, same with the y's, square them, add them, take the square root."
428.0,435.0,"So what's the x value of one point? Well, one of the points is going to be the thing that I'm calling the distance method on self."
435.0,447.0,"So I grab the x value of self using this dot notation, self dot x. And then what's the x value of this other coordinate point? Well, it's called other in my parameter list."
447.0,455.0,So I'm going to grab the x value of other again using dot notation. And then we just do the math.
456.0,465.0,Yes. Can you call functions on a class that were defined in like this?
465.0,470.0,"Yeah. So you can make methods, you can make methods for a particular class."
470.0,475.0,"Right, but like you can only call those functions that you define, because you can't call another one."
475.0,479.0,Exactly. Yeah.
480.0,485.0,Is there a way we could define a class as something other than an object?
485.0,488.0,A class is something other than an object.
