Start Time,End Time,Text
0.0,16.8,"So, let's get started with lists and mutability."
16.8,22.96,"So last lecture, we talked a lot about what it means to have these mutable data structures"
22.96,23.96,lists.
23.96,26.240000000000002,"Today, we're not off the hook."
26.240000000000002,29.6,We will continue talking about the idea of mutability.
29.68,35.24,We're going to do it in the context of removing items from lists and some of the pitfalls that
35.24,36.88,come with that.
36.88,42.64,"And then we'll go into along the way ideas about cloning, making copies of lists and"
42.64,48.400000000000006,"aliasing, making another name for the same object in memory."
48.400000000000006,56.32,"So first, let's quickly talk about making a copy of a list because so far when we're dealing"
56.32,64.2,"with these mutable objects, we notice that it's sometimes inconvenient to mutate the"
64.2,65.2,list.
65.2,68.2,And it's hard to keep track of the fact that we're mutating a list.
68.2,72.92,And there are some problems for when it does make sense to make a copy of our list so
72.92,80.88,that we can mutate the copy or mutate the original while still having those original items
80.88,83.72,in saved somewhere else.
83.72,89.84,"So you can ask Python to make a copy of a list, and basically behind the scenes, it creates"
89.84,92.2,a new list object for us in memory.
92.2,98.96,And copies over every single element from the list you'd like to copy into the new list.
98.96,103.16,So the syntax for doing a copy of a list is as follows.
103.16,108.72,"So we've got a list that's already made called L, and we want to make a copy of it."
108.72,112.68,"So the syntax is L, square brackets with a colon inside it."
112.68,117.36000000000001,"And behind the scenes, Python makes this list inside memory, and then we save that new"
117.36000000000001,124.72000000000001,list that has the exact same element as L into a list named L copy.
124.72000000000001,129.4,"And so in memory the way this looks, so if I have this code here where I name my list L"
129.4,134.84,"original, again, I'm choosing a different name than L just to show you that whatever list"
134.84,137.72,"object I have, that's the name I need a reference."
137.72,143.84,"So if I have L original is 4, 5, 6, and memory, if I want to make a copy of my list, I just"
143.84,148.72,"say L original, square brackets with a colon inside it, that means copy every single element"
148.72,154.92,"from beginning to end of this list, and bind it to the name L new."
154.92,160.07999999999998,"So notice in memory, now I have two list objects, they're referenced by different names."
160.07999999999998,164.24,"And so if I change one of them, the other one will not change, right?"
165.24,169.04000000000002,They're now completely separate objects.
169.04000000000002,173.52,"So we're starting this lecture off with a quick little exercise, just to kind of get you to"
173.52,178.08,remember what we did last time and to practice writing a little bit of code with mutable
178.08,180.60000000000002,objects.
