Start Time,End Time,Text
0.0,15.0,"All right, everyone, let's get started."
15.0,18.0,So today's lecture will be on this thing called dictionaries.
18.0,22.0,And it's not the dictionaries that our parents and grandparents used.
22.0,26.0,Notice I never actually used regular book dictionaries either.
26.0,29.0,Maybe once in my entire life.
29.0,32.0,But it's actually on a Python dictionary.
32.0,37.0,So this is going to be a new data type that we have not worked with before.
37.0,42.0,But it'll be a compound data type much like we've seen lists and tuples to be.
42.0,46.0,It's just going to be very different than lists and tuples.
46.0,53.0,"So before I introduce a bunch of syntax and what a Python dictionary is,"
53.0,58.0,let's try to just motivate the need for such a data structure.
58.0,61.0,So suppose we have the following problem.
61.0,65.0,We've been dealing with this problem in many of our lectures.
65.0,69.0,But we once again want to store student information.
69.0,75.0,So let's say we want to store great information for a bunch of students.
75.0,80.0,"With what we know so far, we can store information using lists."
80.0,85.0,It's a very reasonable data structure to use because we might get new students in the class.
85.0,87.0,"Students might drop, grades might change, things like that."
87.0,91.0,So let's use this mutable data structure list.
91.0,96.0,"Let's say we want to store names of students and their grades in the class,"
96.0,98.0,like their final letter grade.
98.0,102.0,"Additionally, we can store things like micro quiz grades and p-sets grades."
102.0,106.0,"But for now, let's just assume we're storing just the names and the final grades in the class."
106.0,111.0,"So if we do this using lists, one reasonable way to store this information is by saying,"
111.0,115.0,"well, I'm going to have a list of all the names of the students in my class."
115.0,118.0,I'm going to have a list of all the grades of these students in the class.
118.0,124.0,"And I'm basically going to go index by index and make the rule that says,"
124.0,129.0,"at a particular index, I'm storing all the information related to this one person."
129.0,134.0,"So at index zero here, I'm storing the name of the student and their grade."
134.0,138.0,"At index one, I'm storing the name of that student, John, and their grade."
138.0,142.0,"At index two, I'm storing the name of that student and their grade."
142.0,144.0,And at index three and so on and so on.
144.0,148.0,"So now I basically have to remember that for a particular index,"
148.0,154.0,I am storing all the information related to that student.
154.0,159.0,"Okay, so seems like a reasonable way to do this."
159.0,164.0,Now let's say that I wanted to look up the grade for a particular student.
164.0,168.0,So I write this function called get grade.
168.0,170.0,It takes in some parameters.
170.0,173.0,The first thing it'll take in is the name of the student.
173.0,178.0,"So Anna, for example, and I would pass in the list of all the names in my class"
178.0,180.0,and the list of all the grades in the class.
180.0,183.0,So these are these two lists that I've previously created.
183.0,186.0,So these get passed in to this function.
186.0,189.0,"So you can imagine if we have a list of everybody at MIT,"
189.0,193.0,these lists are going to be pretty large that we're passing in as parameters.
193.0,197.0,How do we actually grab the letter grade associated with a student?
197.0,204.0,"Well, we're going to use the fact that the letter grade for the student at index i"
204.0,212.0,is in the grades list is going to be grabbing the letter grade for the student
212.0,215.0,at that same index in the name list.
215.0,219.0,"Okay, so we have to figure out this particular student being passed in here"
219.0,223.0,what index they're at in the names list.
223.0,225.0,So that's what this line of code is doing.
225.0,232.0,"Using this index function on the name list with a parameter, for example, Anna."
232.0,237.0,So this will return for us the index where Anna is in my list.
237.0,243.0,"So from the previous example, it's going to say that it's going to turn the number zero"
243.0,247.0,because Anna is stored in the name list at index zero.
247.0,251.0,"So now that I have that index in hand, stored in variable i,"
251.0,256.0,I can just index into the grade list at that same index.
256.0,258.0,So I can get grades list at index zero.
258.0,265.0,We'll return for me the grade that I got for that particular class or whatever we're storing here.
265.0,268.0,And then we just return the two-pole student comma grade.
268.0,271.0,"So this becomes really messy, right?"
271.0,276.0,I already mentioned that if I have a list of a whole bunch of students for a really large class
276.0,282.0,"for the entire university, then it becomes really unwieldy to just keep passing in all these lists."
282.0,287.0,If I have in addition all these micro quiz lists and all these problem-set lists
287.0,291.0,"that also store additional information for the student, I then have to pass those in"
291.0,293.0,for their respective functions.
293.0,296.0,"And so it gets really messy, right?"
296.0,299.0,Writing these functions that retrieve this information.
299.0,303.0,"And additionally, if we're mutating these lists like if a new student comes in"
303.0,309.0,"and we need that all their information, I need to make sure to update every single one of these lists that I'm maintaining."
309.0,316.0,"If a student leaves, or drops the class, I need to remember to remove that index from all of these different lists."
316.0,324.0,"So really, really messy situation that we could get into by using this method to store information about students."
324.0,327.0,So let's try a different approach.
327.0,330.0,"Instead of using all of these different lists,"
330.0,334.0,let's say that we're going to store everything in a master list.
334.0,336.0,So we're not storing many lists.
336.0,339.0,We'll just store one list for the grades in the class.
339.0,346.0,And the way it'll be stored according to this in the slide is going to be this grades list.
346.0,350.0,So this is one list with three elements in it.
350.0,355.0,"And you can imagine if we have more students, we would just put all these students in this master list."
355.0,360.0,So what is each one of these student elements?
360.0,363.0,"Well, each student element is itself a list."
363.0,365.0,So already I've got my master list.
365.0,368.0,And each element within this list is also a list.
368.0,372.0,"So this is a list for Eric, a list for Anna, and a list for John."
372.0,374.0,These are variable names.
374.0,377.0,What are these lists going to be comprised of?
377.0,380.0,"Well, they will be comprised of three things."
380.0,382.0,"So notice, right, two commas here."
382.0,384.0,So the first thing is their name.
384.0,388.0,The second thing is another list containing their problem set grades.
388.0,396.0,And I'm kind of using this element of that list to denote what that set of numbers represents.
396.0,401.0,"And then another list as my third element being for the micro,"
401.0,403.0,being the scores for the micro quiz grades.
403.0,410.0,"And again, I'm denoting the first element of that list telling me what this list contains."
411.0,417.0,"Okay, so I've got lists, master list with three sub lists for my three students."
417.0,421.0,"And each one of those lists contains three elements, a string, a list, and another list."
421.0,427.0,And those two lists are then also comprised of a string and a list themselves.
427.0,434.0,"So super complex, a data structure, a sort of composition or design choice that I've made here."
434.0,441.0,But it solves the problem of maintaining all these different lists in separate variables.
441.0,448.0,"So now, let's say I wanted to write a function that gets the grades for a particular student for either, you know,"
448.0,451.0,problem set or micro quizzes grades.
451.0,453.0,This is the function that does that.
453.0,457.0,"So again, it's not looking super nice."
457.0,459.0,So what is this function going to take in?
459.0,462.0,The who is going to be a string representing the name?
462.0,464.0,"So for example, Anna."
464.0,469.0,"The what will be also a string representing what information I'd like to grab,"
469.0,472.0,either PS or MQ.
472.0,476.0,And the data is going to be my master list of all the grades.
476.0,479.0,So this grade equals this list of everything.
479.0,481.0,So what is this code going to do?
481.0,487.0,"Well, it has a for loop down here and a nested for loop inside it."
487.0,496.0,The outer for loop basically looks through each one of these elements here and looks at the element at index zero.
496.0,505.0,"So either Eric, Anna, or John, and grabs only the list where that piece, the string here, matches the who."
505.0,512.0,"So if student at index zero equals who right here, then we've found the student I'm interested in grabbing the information for."
512.0,513.0,Cool.
514.0,518.0,"So now I've gone, I've grabbed the right piece, the right list."
518.0,522.0,And now I'm interested in their grades for a particular what?
522.0,524.0,So either MQ or PS.
524.0,528.0,So I do the exact same thing again for that list here.
528.0,536.0,"So if I'm interested in Anna's PS grades, I've grabbed these lists here."
537.0,541.0,And then I'm going to check if the info at index zero.
541.0,544.0,So either this PS or this MQ matches the what?
544.0,550.0,"So either PS or MQ to match what I'm interested in grabbing the information, what information I'm interested in grabbing."
550.0,557.0,"And then I'm going to go inside this if statement, if they match, and then I return the who in the info."
557.0,559.0,"So again, super complex."
559.0,564.0,No need to understand this that well because we're not going to use this method for long.
564.0,567.0,So this get grades here.
567.0,577.0,"For example, if I grab a micro quiz grades and I run the code, it will return for me this two pull that grabs that returns for me the name of the student."
577.0,582.0,And then this just this sub list of the thing that was interested in in this case micro quiz.
582.0,592.0,And it grabs for me all the grades and then I can then index into this returned two pull to grab either the first quiz or the second quiz grades.
