Start Time,End Time,Text
0.0,14.96,"All right, so let's get started with today's lecture."
14.96,20.84,We're going to look at a lot more code where we basically figure out the complexity class
20.84,22.8,of that given code.
22.8,26.52,So first let's remember what we learned at the end of the last lecture.
26.52,33.98,So we introduced this theta notation as a notation to mark the order of growth of a particular
33.98,36.68,"function or a particular piece of code, right?"
36.68,42.12,And the theta we preferred over big onotation because the theta allowed us to get this
42.12,47.120000000000005,asymptotic upper bound on the worst case runtime of our function.
47.120000000000005,50.64,So we wanted an asymptotic bound as opposed to an upper bound because that upper bound
50.64,53.92,"can be anything that grows faster than our function, right?"
53.92,58.0,So we prefer this theta as the asymptotic bound.
58.0,63.0,"So at the end of last lecture we basically said that given some function, the theta for"
63.0,68.32000000000001,that function is going to be the dominant term of that function.
68.32000000000001,72.6,"So if we have a whole bunch of terms, we focus on the one that grows the most."
72.6,78.16,"We drop any additive constants, any multiplicative constants, and all the other terms that don't"
78.16,82.12,"grow as fast as that one, as that biggest one, okay?"
82.12,85.84,So we ended up with some classes of algorithms that we're going to go over today.
85.84,89.24000000000001,We're going to see a bunch of codes that fall within those classes of algorithms.
89.24000000000001,95.64,"But before we go into that, I wanted to just quickly recap sort of the end of last lecture."
95.64,101.56,"So we saw an example that was pretty similar to this one, if not the same."
101.56,106.80000000000001,"So we know that given some function, we can grab the theta of that function by focusing"
106.80000000000001,108.44,on that dominant term.
108.44,110.80000000000001,But how do we get at that function?
110.8,116.84,"So given some piece of code, the idea to get at that function was to first start by looking"
116.84,118.72,at the inputs to the function.
118.72,123.92,"So we have three inputs in this particular case, L, L1, and L2, right?"
123.92,129.24,"Once we figure out the inputs to this function, we go on and look at everything within the"
129.24,132.24,code that depends on these input parameters.
132.24,137.76,"So they could be direct like a loop that goes over something related to the input, or"
137.76,141.64,it could be indirect as we're going to see in some examples later today.
141.64,148.67999999999998,But we basically look at just the parts of the function that deal with this input.
148.67999999999998,157.56,"If we want to be exact, we start by finding out the exact number of operations that we do"
157.56,158.56,within this code.
158.56,163.32,That's something that we did when we counted the number of operations given some function.
163.32,170.76,"So we're going to count the number of operations given this code in relation to L1, L2, and L."
170.76,176.79999999999998,So we've got this relationship that we can come up with that relates the number of operations
176.79999999999998,180.56,"run as a function of L, L1, and L2."
180.56,188.24,So the one over here is constant because we just have an assignment here for some variable.
188.24,191.48000000000002,The next term here is not constant.
191.48000000000002,197.24,"There are five constant things that we're doing, assigning I to be a value in range, grabbing"
197.24,199.56,indexing into L at I.
199.56,205.68,"That's two, indexing until I, L1 at I, that's three, checking the equality that's four, and"
205.68,208.04000000000002,then setting an L1 to be true that's five.
208.04000000000002,212.56,"So there's five operations, but these are repeated how many times?"
212.56,218.0,"Well, they're repeated length L1 times because this loop goes through length L1, right?"
219.0,225.88,"So this term here, this four loop here, is length L1 times five number of operations."
225.88,231.48,"Then the one here is this assignment over here, and then this loop down at the bottom is"
231.48,239.84,"exactly the same as the loop up at the top, except that now this bottom loop repeats length L2 times, right?"
239.84,244.52,"So as L2 gets bigger, this loop will take longer to run, right?"
244.52,246.12,That's how we think about that.
246.28,252.0,"And then lastly, the plus two at the end of that relationship is finding the end of these two variables,"
252.0,253.88,and then doing a return.
253.88,260.4,"Okay, so that leads us to simplify it as five times length L1 plus five times length L2 plus three,"
260.4,265.08,"and this becomes the function that we can then grab the theta, right?"
265.08,270.44,"So now we just use the regular rules of theta, law of addition and law of multiplication,"
270.44,274.28000000000003,"if there's anything to add or multiply, in this particular case."
274.28000000000003,280.92,"So let's say that LL1 and L2 are all the same length, and then we can simplify the above function to 10 length L plus three,"
280.92,286.44000000000005,"and then the theta of that becomes just theta of length L, because we drop the three."
286.44000000000005,291.28000000000003,"We drop the 10 multiplying L, and then we just keep length L."
295.04,299.12,So this is how we get at the theta of a particular function.
299.12,301.16,This is when we looked at last time.
301.16,310.04,"But as we look at more functions today, we're going to get better at just identifying the parts of the code that just deal with our inputs, right?"
310.04,317.08000000000004,"This in L1 equals false, this in L2 equals false, this return this, and those are all constant things that are happening."
317.08000000000004,319.0,So we don't need to focus in on those.
319.0,325.88,"We just maybe glance at them really quickly to make sure there's nothing funky going on that's dependent on the length of our lists, right?"
325.88,333.32,"So we can just basically say, well, we've got our inputs, we've got one for loop that goes through the length, another for loop that goes through the length."
333.32,339.96,"They're in series, so we use the law of addition to say that this function is theta of length L1 plus length L2, right?"
339.96,347.44,"And so then we can quickly tell the theta of that function just by looking at the parts that depend on the input, right?"
347.44,361.04,"So at the end of last lecture, we ended up with looking at these, sorry, deciding that these are the complexity classes that we can categorize a lot of our functions in, right?"
