Start Time,End Time,Text
0.0,13.44,Let's get started.
13.44,16.18,So today's lecture will be super short.
16.18,21.84,"We've got a 45 minute quiz on object-oriented programming classes, that kind of stuff."
21.84,27.16,So I wanted to give you guys an extra bit of time to work through three programming problems.
27.16,33.28,"But the actual lecture part, we're going to switch gears a little bit, and we're going to"
33.28,39.64,"start talking about something more theoretical, which is how to figure out whether the"
39.64,44.04,programs we write are efficient and how efficient are they.
44.04,49.480000000000004,So we're going to do that today using the idea of timing our programs and then counting
49.480000000000004,51.8,number of operations as I'll describe in a little bit.
52.28,54.040000000000006,"First of all, a little bit of motivation."
54.040000000000006,58.00000000000001,So why do we actually care about this topic?
58.00000000000001,63.400000000000006,It's a topic that's a high research area on computer science.
63.400000000000006,66.48,"So far in this class, though, we've emphasized correctness, right?"
66.48,72.28,"In problem sets, the unit tests check whether the programs you wrote were correct."
72.28,78.76,"In quizzes, we basically look at how many test cases you pass, right, and to determine the grade."
78.76,83.76,"But these days, we actually have a whole bunch of data coming at us, right?"
83.76,89.84,"So we have a lot of data that we need to analyze, we need to read, we need to visualize,"
89.84,91.64,we need to make sense of.
91.64,96.88000000000001,"And so the programs that we write, yes, they have to be correct, which is a large part of it,"
96.88000000000001,99.64,"but they also have to be fast, right?"
99.64,106.08000000000001,"So if it takes a year to analyze a bunch of information on YouTube videos,"
106.08,108.8,"nobody's going to really want to wait that long, right?"
108.8,113.88,"And so we're going to emphasize in the next three or four lectures,"
113.88,117.6,"I forget exactly how many, but the next little section in this class,"
117.6,122.44,"the idea of how to determine the efficiency of our programs, okay?"
122.44,127.32,"So when we're talking about efficiency, we can talk about the time efficiency of programs"
127.32,130.07999999999998,and also the space efficiency of programs.
130.07999999999998,133.28,"And usually, there's going to be a trade-off between these two."
133.28,138.68,"So very rarely these days, can you come up with an algorithm that's both efficient in time"
138.68,142.32,and space compared to algorithms that are already out there.
142.32,148.48,"So usually, there's a trade-off, and the best example is the one that we saw with Fibonacci."
148.48,153.08,So we saw a code that was recursive to calculate Fibonacci.
153.08,157.12,"So Fibonacci of N was Fibonacci of N minus 1 plus Fibonacci of N minus 2, right?"
157.12,160.08,That was our recursive step.
160.08,166.16000000000003,That program that was recursive took something like 30 million steps
166.16000000000003,168.68,"to calculate Fibonacci of 30 something, right?"
168.68,172.76000000000002,"It was 30 million recursive calls, which was pretty slow."
172.76000000000002,175.20000000000002,It took a couple seconds for it to run.
175.20000000000002,177.92000000000002,But then we saw a version with memoization.
177.92000000000002,179.44,"Now, there's no arm missing there."
179.44,183.56,"It's just memoization, sort of the process of keeping a memo through a dictionary"
183.56,185.4,in that particular case.
185.4,191.28,And the memoization idea was that we would take some values that we calculate
191.28,194.0,"and as we calculate them, store them in the memo."
194.0,202.92000000000002,"So in the memoization example, we had given up some of our memory to store these values"
202.92000000000002,204.4,so that we didn't have to compute them.
204.4,209.48000000000002,"And in the process of doing so, we had a program that ran really, really quick, right?"
