Start Time,End Time,Text
0.0,20.52,"So, let's start today's lecture."
20.52,24.64,Today we're going to be talking about the idea of iteration and iteration is another
24.64,29.0,way we're going to add control flow to our programs.
29.0,36.28,"But before we do that, let's do a little bit of a recap on, sorry, let's do a little bit"
36.28,40.92,of a recap of what we've done so far last lecture because last lecture we actually introduced
40.92,44.76,"a different mechanism for control flow, branching."
44.76,49.28,And the control flow was basically a way for us to tell Python not to go systematically
49.28,51.400000000000006,through the code.
51.400000000000006,56.04,"Branching was a way for us to tell Python, hey, based on some condition being true or false,"
56.04,61.4,"you evaluate some set of code or another set of code, right, which was not going literally"
61.4,65.12,we were actually kind of skipping around through the code.
65.12,69.72,"So that's what we learned at the end of the lecture, but we also learned about input and"
69.72,73.44,"output, so a way for us to write interactive programs."
73.44,76.03999999999999,"And we learned about a new data type, the string."
76.03999999999999,80.2,"So the string was a sequence of characters, hopefully you got a chance to do a little bit"
80.2,88.36,of exercises on MITX as practice for today's quizzes with strings and branching.
88.36,91.8,"Okay, so in branching, what did we learn?"
91.8,95.84,We talked about how to actually add a branching point in our program.
95.84,98.76,So we did that using these particular keywords.
98.76,102.2,"So when you type them in your program in the file editor, you'll see that they kind of turn"
102.2,106.12,"a different color, that tells you it's a special word in Python."
106.12,111.36,And these keywords are how we told Python to put a branching point.
111.36,117.60000000000001,And the colon kind of ended the branching conditional.
117.60000000000001,123.44,And then anything that was indented as part of that conditional was code that would be executed
123.44,125.28,when that condition was true.
125.28,128.52,So I'm just going to quickly go over each one of these boxes.
128.52,133.56,So the first one up here was the simplest way that we could add a conditional to our program.
133.56,138.52,"You basically said, hey, go through the program, when you reach this if condition, Python would"
138.52,145.0,"check the condition and say if that condition is true, execute the code that's indented"
145.0,146.6,as part of that block.
146.6,152.2,"If the condition was not true, don't do anything, just carry on with a remaining program."
152.2,156.32,"If we wanted to do something else, so if the condition was not true, if we wanted to do something"
156.32,159.8,"else, we added this else clause here."
159.8,164.8,And the else also has some sort of code indented as part of its code block.
164.8,170.76000000000002,And that code would be executed when that condition was false.
170.76000000000002,175.0,"OK, so that was a really simple if or if else code structure."
175.0,179.76000000000002,"But sometimes we want to have code that checks for many conditions, right, not just one."
179.76000000000002,182.16000000000003,That's where the L if structure came in.
182.16000000000003,186.96,So we would have an if condition that starts our code block.
186.96,192.0,"If that condition was true, as usual, we execute the code that's part of that block,"
192.0,195.72,"else if, so L if, we could insert another condition."
195.72,199.36,"And Python would say, OK, well, if that one wasn't true, let me check if this next one is true"
199.36,202.36,and then we would execute the code that's part of that code block.
202.36,207.28,"And we can add, we can chain as many of these L ifs as we want together."
207.28,214.04000000000002,And Python will evaluate the very first one that it finds true that's part of this chain.
214.04000000000002,216.68,Even if more than one is true.
216.68,220.20000000000002,It is possible none of those conditions were true in which case Python would basically
220.20000000000002,225.56,skip over all of them and do nothing and turn none of those code blocks.
225.56,229.68,"If you wanted to have a structure where if none of those conditions were true, you wanted"
229.68,231.08,to do something.
231.08,236.52,"You could put an else at the end of a whole chain of if L if, L if, L ifs."
236.52,239.88,And the else would be executed when none of those conditions are true.
239.88,244.16,"OK, so hopefully this is just recap."
244.16,248.88,One sort of tricky thing to remember is the ifs starts a code block.
248.88,253.72,"So the if can have an else associated with it, or it can have an L if, L if, L if, and"
253.72,255.92,an else associated with it.
255.92,261.48,"But if you have if condition, and then followed by another if condition, both of those code"
261.48,264.8,"blocks could potentially be executed because the ifs are independent, right?"
264.8,266.44,It's not an else situation.
266.44,272.36,They're just another if code block that gets started.
272.36,276.04,"So the way we told Python, again, just to reiterate the way you told Python which code"
276.04,279.28000000000003,"to execute when the condition is true, is by indentation."
279.28000000000003,282.32,And indentation is something you have to do.
282.32,284.68,It's not optional in Python.
284.68,289.82,"OK, so let's take what we've learned so far and code up a really simple game."
289.82,294.08000000000004,"So this is sort of a very simple variation of the lost woods in Zelda, sort of my version"
294.08000000000004,295.08000000000004,of it.
295.08000000000004,299.32,Let's say it's kind of a trick level where you have your character and they enter the lost
299.32,300.32,woods.
300.32,302.32,They're presented with this screen.
302.32,307.12,And the trick here is you ask the user if they want to go left or right.
307.12,310.96,"If they say right, you're basically going to present them with the exact same screen all"
310.96,311.96,over again.
311.96,315.24,So it's kind of representing that they're lost in the woods.
315.24,318.4,"And as long as they say I want to keep going right, I want to keep going right, I want"
318.4,322.84,"to keep going right, they're basically going to see the same screen over and over again."
322.84,328.71999999999997,And the trick to getting out of the woods is to say I want to go left.
328.72,333.28000000000003,"So no matter how far, how many times they've said right in a row, as long as they type"
333.28000000000003,336.76000000000005,"in left, they're out of the woods."
336.76000000000005,340.66,"So let's try to code that up with what we know, just conditionals."
340.66,345.04,"We have an if else, right?"
345.04,349.08000000000004,"The if says if the user exits right, we're going to do something."
349.08000000000004,354.40000000000003,"And otherwise, we're going to say that the user said left or something else or exit."
354.40000000000003,356.72,And then we're going to tell them that they've exited successfully.
357.72,359.88000000000005,"All right, now if they said exit right, what do we do?"
359.88000000000005,362.16,"Well, we're going to show them the exact same thing again."
362.16,365.16,So we're setting the background to the same woods background.
365.16,368.16,"And then to present it with a choice all over again, right?"
368.16,370.0,Do you want to exit right or do you want to exit left?
370.0,374.04,"So if they say exit right, we would do something."
374.04,378.88000000000005,"And otherwise, we would tell them they were successfully exited."
378.88000000000005,380.52000000000004,"Well, what if they exited right?"
380.52000000000004,384.40000000000003,"If they exited right, then we would do something again, basically present them with the"
384.40000000000003,386.88000000000005,same situation.
386.88000000000005,391.28000000000003,So we would set the woods background again and we would ask them if they want to go right
391.28000000000003,392.28000000000003,or left again.
392.28000000000003,395.52000000000004,"And otherwise, if they said left, they exit."
395.52000000000004,397.92,"So we already see a problem, right?"
397.92,401.44000000000005,"How deep do we make this nested loop situation, right?"
401.44000000000005,406.24,Here we already have three in case the user said I want to go right three times in a row.
406.24,408.72,But we don't know how persistent the user will be.
408.72,414.20000000000005,"So how do we know when we're writing our code, how deep to make this nested loop?"
