Start Time,End Time,Text
0.0,17.02,"All right, welcome everyone, so in case you missed last lecture, I've got some extra"
17.02,25.18,debugging ducks that were left over from last lecture's debugging lecture. Please take
25.18,29.36,them home. I don't want to have to take them back to my office and then bring them back
29.36,36.76,"so many times, so please give them a good home. If you find them useful in your debugging"
36.76,43.64,"strategy throughout your programming careers, I suggest you upgrade to carrying a debugging"
43.64,49.72,"duck with you everywhere. As I have on my phone, I use it in my day-to-day life, so that's"
49.72,56.4,"just the next step beyond an actual duck. All right, so let's get started on today's lecture."
56.4,65.16,"We will be going over the idea of exceptions and assertions, and these are basically those"
65.16,71.36,scary red errors that we get when our program crashes. Today's lecture will hopefully
71.36,76.68,shed some light on exactly what these exceptions are and how we can actually use them to
76.68,84.32,our advantage in our code. So let's start by talking about exceptions. So when you run
84.32000000000001,91.68,"your code, usually it runs without error, produces the right output all the time like mine does,"
91.68,99.16000000000001,but sometimes it so happens that your code hits an unexpected condition. And when that unexpected
99.16000000000001,106.08000000000001,"condition is run, you get an exception to something that was expected. So we've already seen"
106.08000000000001,111.12,a bunch of different exception examples. So we even talked about a couple of these last
111.16000000000001,116.60000000000001,"lectures, so we've got index errors where you index too far into some list, type errors where"
116.60000000000001,122.60000000000001,"you're doing funky things with types that Python doesn't like, syntax errors are also exceptions,"
122.60000000000001,126.88000000000001,"name errors are also exceptions, so a bunch of these errors that we've encountered are types"
126.88000000000001,135.64000000000001,of exceptions. So it turns out so far in our programming experience that whenever we get an
135.64000000000001,141.20000000000002,"exception, the programming immediately crashes. And really, we don't have any way to handle"
141.20000000000002,146.72000000000003,these exceptions. We just accept the fact that it crashed and we go back to the debugging board.
146.72000000000003,152.64000000000001,"But it turns out that in Python, we can actually write code to handle these exceptions. So if your"
152.64000000000001,158.96,"code does happen to throw an exception, so an error occurs or something unexpected happens,"
158.96,165.28000000000003,you can write code that deals with that situation and either decides to ignore the fact that
165.28,173.28,"an error occurred, set some default values or just raise your own exception and move on."
173.28,181.04,So we're going to see a bunch of examples of these cases. So the way that we deal with exceptions
181.04,187.58,is using some code blocks. The way that we handle exceptions is using these try and accept
187.58,197.10000000000002,blocks. So the way that we write an exception handler is to put some potentially problematic code
197.10000000000002,203.46,"inside this try block. So the try is a keyword in Python, so obviously you can't name a variable"
203.46,209.18,"try or anything like that. If you type it in your code, you'll see it turns blue. And try tells Python"
209.18,215.46,that you're starting a code block that contains some lines of code you'd like Python to execute. So just
215.70000000000002,222.34,normal code. If Python is able to successfully execute these lines of code without an exception being
222.34,229.58,"raised, so without the program crashing, then nothing happens. Nothing is run inside this accept"
229.58,236.74,"block. And the code just continues as normal. But if it so happens that in that code that you ran,"
236.74,243.58,"something strange has happened, and the code would have crashed, the code actually doesn't crash"
243.58,250.86,because we can catch the exception that gets raised inside this accept block. So if we have an
250.86,257.98,"associated accept block over here, to a try block from here, Python is going to try to run this"
257.98,263.58000000000004,"potentially problematic code. And if an exception is raised, it will stop running any further lines"
263.58000000000004,269.5,inside the try block and immediately hop to the lines in the accept block. And the lines in the
269.5,277.5,accept block will then get executed. So to just kind of draw a parallel to if I were to kind of say
277.5,284.46,"this in terms of if and else, the way that I would describe the try and accept blocks is I would say if,"
285.66,290.86,and then I would put all the potentially problematic lines of code that I'd like to write inside this
290.86,297.58,"condition for the if. And if all of these lines of code manage to successfully run, then nothing else"
297.58,303.09999999999997,happens. The inside of this if is essentially just a pass and we don't execute the else and then we just
303.09999999999997,308.53999999999996,"carry on with the rest of our lives. But if there is some line of code here that we're trying to run,"
308.53999999999996,314.38,"that crashes or that causes the program to crash, Python will say, no, I'm not going to crash just yet."
315.02,319.74,Let me see what the code would like me to do. And so we'd hop inside this else and then we'd do
319.74,324.86,"something to handle the problem. And the something we do is inside this accept block. So again,"
324.86,330.46000000000004,this is not code we'd ever write. It's just kind of a way to draw parallel with what we know so far.
331.26,338.62,The code that we would write is this try a bunch of code except do something you'd like do do some
338.62,345.1,lines of code if an error should come up in the in the try block. So let's look at some examples with
345.1,350.22,code that you should be able to write at this point in the course. So we'd have some code on the left
350.22,357.02000000000004,here. It's a function called some digits and we're writing this code without any exceptions.
358.22,363.58000000000004,We're just writing it as if you were given this code on a quiz. What would be one solution?
364.86,371.42,So this sum digits takes in a string s and we say it's non empty containing some digits and I
371.42,375.58000000000004,want to return the sum of all the characters that are digits. So I don't actually say anything about
375.58,384.46,whether the string s contains non digit characters but let's write it in a robust way anyway. So we'd
384.46,391.02,"have a loop that goes through every character in that string s and I'm using this in keyword here,"
391.02,398.78,this nice little trick here that says if that character so whatever character it may be is inside this
398.78000000000003,406.54,string of digits then I know it's a number sorry I know it's a digit and I'm going to cast that
406.54,412.46000000000004,digits 0 through 9 whatever it may be to an integer add it to my running total and then that loop does
412.46000000000004,418.94000000000005,its thing until it's done and then I return the total. So in terms of running the code
421.5,426.70000000000005,this is just as I have it on the slide. So here if the user gives me the string 123 I'm going to
426.7,435.74,sum 1 plus 2 plus 3 6 perfect and if the user gives me 123 and then some random characters that I
435.74,442.46,know I can't add Python will still will still be able to evaluate it because that if statement will
442.46,448.53999999999996,not be run right for A B and C we don't go inside the if so there's no need to cast anything right so
448.53999999999996,455.09999999999997,the code still works. If I didn't have this if here right if I decided to just cast to an
455.1,460.86,element every single thing that comes my way the first line of code will still work but the second
460.86,468.46000000000004,line of code will throw an exception. You see I have on right hand side my scary red text that says
468.46000000000004,478.94,value error invalid literal for int with base 10 a kind of hard to parse but after you've seen a
478.94,484.06,bunch of these you'll figure out that there's something going on with my types and then I'm trying
484.06,490.62,to cast you know I'm trying to cast to an integer the the string a and obviously it doesn't know
490.62,496.14,how to do that. So that's the potentially problematic line right casting to an integer.
498.22,502.86,So let's try to write the same code except that now we'll do it with exception handling.
503.74,510.62,So a bunch of it is going to be the same. What we're going to change is the potentially problematic
510.62,519.5,code is these these two lines here right I don't need the if anymore. Instead I'm going to just assume
519.5,525.5,I can cast every single character to an integer and I'm going to try to do that so I'm going to try
525.5,531.18,to cast every single character to an integer and and then add it to my running total.
535.02,540.46,Most of the time that's going to work if the input is a digit but sometimes the users give me
540.46,546.46,something that's non-digit. In that case you saw what happened the code throws a value error.
547.1800000000001,553.02,So if we didn't have the accept block nor the try block the code crashes immediately no answer is
553.02,561.02,even given but with the accept block Python will say oh in this particular for loop run I had an
561.02,567.34,exception raised so I'm going to execute whatever's inside the accept block and the accept block says
567.34,572.38,print can't convert and then the character that it couldn't convert that time through the loop.
573.58,578.86,And then that loop iteration is done and it goes on to the next character in the sequence.
581.98,590.86,So let's run the code and this is the sum digits with the accept so here I've got the user giving me
590.86,598.3000000000001,perfectly fine input no exceptions were raised the code worked well if the user gives me some
598.3000000000001,605.74,characters within there the loops go through it adds 1 plus 2 plus 3 but then when it tries to cast
605.74,613.1,to an integer the a over here right as as the iteration goes to a it's going to say this raises a value
613.1,619.5,error as we just saw and I'm going to execute whatever's inside the accept block so prints couldn't
619.5,624.46,convert character there it is and then I actually gave the user the character it couldn't convert it
624.46,630.54,goes on to the next iteration the next character in the sequence the b again tries to convert b it
630.54,636.3,can't cast it to an integer so we print couldn't convert b and then lastly the same with the c
637.82,643.26,does that make sense is that all right so far so kind of like a little if else situation going on here
643.26,653.18,um nice places to put try accept blocks are when you're dealing with user input because the users
653.18,660.14,when they give you some inputs right for using the actual input command they're very unpredictable we
660.14,664.46,don't know what kinds of things they'll give you even though you give them clear instructions to
664.46,671.02,tell me one number or tell me another number so in this in these three lines of code
674.14,681.6600000000001,down here I've got the user giving me two numbers and then I print the first one divided by the second one
682.62,688.86,so I'm a nice user I do what I'm told so I'm going to do five divided by eight perfect the code runs
688.86,696.54,well let's see somebody else runs the code and this time they decides they decide to do seven
696.54,705.26,divided by I don't know five like that value error right so that's one thing that could go wrong the
705.26,712.0600000000001,user tries to be um funny and then another thing that could go wrong is let's say the user gives me
712.0600000000001,718.0600000000001,a zero for the second number so in this case I get a zero division error you can see Python doesn't
718.0600000000001,723.0200000000001,know how to divide by zero so it raises an exception this thing zero division error
725.0200000000001,731.1800000000001,so these are uh this is a case where I'm dealing with potentially problematic input so I'm going to
731.1800000000001,737.1,wrap my potentially problematic lines of code in a try and accept block so I've got those three lines
737.1,742.1400000000001,that I'm going to try to do and if anything goes wrong I'm gonna uh I'm going to execute whatever's
742.14,749.58,in the accept block and all I do is say print bug and user input okay so let's run that that's
749.58,761.8199999999999,this one here so here again uh proper input works well if the user gives me uh a letter bug and
761.8199999999999,767.8199999999999,user input so much nicer friendlier way to crash the program right then you know value error whatever
767.82,775.82,it was and then again if the user gives me a zero bug and user input okay again much nicer way to
775.82,786.38,crash the program so what we can actually do is give a specific uh have have specific behaviors
786.38,793.1,depending on what exceptions are raised right so maybe I don't want a generic text that says bug
793.1,799.02,and user input for both of those cases right maybe if the user divides by zero I want to give them
799.02,805.74,a different message then if the user gave me a letter right um so in that case what I can do is I
805.74,811.5,can have different accept blocks for every different error that I know might come up right so as I'm
811.5,820.0600000000001,writing this code I can think ahead right and I can try to catch specific errors so here I can catch
820.0600000000001,827.34,the value error so I say accept and then I say the name of the error that I'd like to catch and
828.3800000000001,835.0200000000001,this block of code this accept block of code will be run only if the code in the tri block crashes
835.0200000000001,841.98,with that specific value error right and then I can also catch my zero division error down here
842.5400000000001,849.74,and in this particular case only this this accept block is only run when the zero division error
850.46,856.94,is raised right so here in the value error I'm going to print for the user I could not convert to a
856.94,863.1,number so a more specific error message so they know what's up and in the zero division error I can
863.74,868.5400000000001,also flag that there was an issue I can't divide by zero by printing that to the screen and then I
868.5400000000001,876.22,can say you know a divided by b is infinity and I can uh continue the last statement that was supposed
876.22,881.5,to be done in the tri block a plus b I can give the answer to a plus b because we can add a zero
881.5,889.82,to uh to a no problem okay the last accept block down here is uh catching anything else that's not
889.82,896.0600000000001,a value error and not a zero division error so I can't think of anything that could go wrong um so if
896.0600000000001,902.62,we uh happen to go in here something went very wrong I would say uh the only thing I can think of
902.62,909.26,is if our computer is almost out of memory and running this little piece of code pushes it over the
909.26,915.18,edge right then the python will probably crash and maybe it'll print that error before completely
915.18,919.98,shutting down the computer or something right but that that last one should never really run
921.18,927.1800000000001,so let me show you what happens when we run the code with these uh specific accept blocks now
927.2600000000001,932.86,so if the user gives me perfectly nice input then the program proceeds as normal every line of code
932.86,940.94,inside the tri block is executed over here none of the accept blocks are executed the user gives me a letter
943.1800000000001,947.5000000000001,I end the program gracefully with the message could not convert to a number so then they know
948.0600000000001,955.2600000000001,that I caught them and then the last one is if I try to divide by zero uh again I've got the
955.26,960.7,little message can't divide by zero and then I give them their division to be infinity and a plus
960.7,969.8199999999999,b is six so I do all the lines of code that are caught over here question so far seems all right so far
970.78,978.06,okay so really nice ways for us to deal with uh with uh exceptions that get raised in our programs now
978.78,984.9399999999999,the the things that I uh that I've told you that we can associate with a tri block is an accept block
984.94,990.0600000000001,right so we've done that but we can actually associate a couple other things with tri blocks and
990.0600000000001,995.4200000000001,we don't really use them in this class but I just thought I'd mention them so if you have an else block
995.4200000000001,1001.4200000000001,associated with a tri block that means the uh the lines of code inside the else block will execute
1001.4200000000001,1006.7800000000001,whenever everything inside the tri block is executed perfectly so if everything goes according
1006.7800000000001,1012.7,the plan whatever you put inside the else block will also get executed and then you could have a
1012.7,1018.22,finally block as well so you know just like we have a uh a try and accept you can also have a
1018.22,1023.1,finally associated with those and the body of the finally will be executed no matter what if an
1023.1,1028.3,exception was raised you also execute the finally if the code work perfectly fine without raising
1028.3,1033.66,any errors the finally also gets executed so I gave an example here of uh something that you might
1033.66,1039.26,put inside the finally block um sort sort of cleanup code so if you're you know writing code that opens
1039.26,1044.14,files from the file system a good idea is to close them before you finish your program so that's
1044.14,1049.82,something that you might want to do inside the finally block just close files before shutting down
1049.82,1059.5,uh before your program terminates okay so I've shown you how to deal with exceptions but now what do
1059.5,1065.34,we do inside the accept blocks okay we've done a couple different things mostly printing out that
1065.34,1071.5,something went wrong but we can do various other things um one thing and I don't recommend doing
1071.5,1077.74,this is to just fail silently certainly we could write code that basically you know has uh yeah next
1077.74,1089.58,question yep yep so this is an else that we'd associate with a try so we would do something like
1089.58,1095.26,um else and then you would you know print something here success or something
1097.6599999999999,1102.62,and then if the code executes perfectly without an error then you will also print success
1104.3,1113.98,yeah um so what do we do inside the uh inside the accept blocks one thing is to fail silently which
1113.98,1120.46,means that well you could say you could try your entire piece of code and then you could say accept
1120.46,1125.58,and then the only line you have in accept is maybe a line that says pass so that means any error that
1125.58,1131.34,happens you would catch but you do absolutely nothing and let the program continue with a potentially
1131.34,1138.22,bad value being passed along that's not a good idea um you could also silently substitute values that
1138.22,1144.14,you know might be uh might be problematic without you know flagging things happening also not good ideas
1144.14,1150.46,okay um at the very least you should flag something to the output that something weird has happened okay
1151.34,1155.5,another thing you could do is return some error values so you could have a whole bunch of variables
1155.5,1164.78,in your code that you could set to some values like flags kind of thing um whenever your code uh runs
1164.78,1170.94,into an exception block right but the problem with that is that you have to now check for all these
