Start Time,End Time,Text
0.0,24.76,All right. Let's get started. So today's lecture is lecture 3 out of 4 on the idea
24.76,30.48,of object oriented programming and creating our own object types through Python classes.
30.48,34.400000000000006,The majority of today's lecture will be on this idea of inheritance. But before we get
34.400000000000006,40.56,"there, I'd like to do a little bit of a recap of the big things that we've seen already."
40.56,46.36,"And along the way, we'll be writing a new data type for something more abstract and animal"
46.36,51.2,"class, more abstract than what we've seen before. But then when we get to the idea of inheritance,"
51.2,56.36,we'll build upon this animal class with some more animal objects.
56.36,62.32000000000001,So the big idea behind creating our own data types is that we want to mimic what's going
62.32000000000001,67.36,"on in real life, right? And in real life, we basically have all of these different objects"
67.36,73.96000000000001,"in the world, right? But these objects can be grouped according to some categories, right?"
73.96000000000001,78.76,"So in this particular slide, I've got six different objects. But the three on the left"
78.76,84.96000000000001,"can kind of be grouped together, right? We know that they are kind of cat. And as such,"
84.96000000000001,89.36,"we know that all these cats have, you know, we can describe them using some common properties"
89.36,94.28,"and common behaviors. So for these cats, I would give, I would say that all these cats have"
94.28,100.2,"a name and agent of color associated with them, right? So I know that all cats will, therefore,"
100.2,105.68,"you know, generally have a name and agent of color, and then some similar set of behaviors."
105.68,110.04,"The items on the right, right? Those three objects, I know they can be categorized together,"
110.04,113.68,"let's say that they're wild rabbits, and let's say that for the wild rabbits, I don't actually"
113.68,118.76,"give them a name. So I would categorize them, again, using common properties, properties"
118.76,124.76,"just an age and a color, right? No name. And then those three objects on the right also have"
124.76,129.36,a common set of behaviors different than the objects on the left. And so we're trying to
129.36,136.68,"mimic these, the idea of these categorizations, data types that we see in real life. Okay."
136.68,144.24,"So a little bit of recap, right? When we define our own data type in Python, we decide on a"
144.24,150.48000000000002,"bunch of attributes. And attributes can either be data, or they can be procedures. The data"
150.48000000000002,156.0,"is, you think of them as sort of what variables make up your object, and this is something"
156.0,161.04,"that you decide. So for a coordinate object, we've seen this example a lot of times we decided"
161.04,167.16,"on x and y values. For this more abstract idea of an animal, well, we can just say that we"
167.16,174.68,"can describe an animal by its age. So how long it's been alive, right? Since birth. In terms"
174.68,180.68,"of procedural attributes, these we implemented using methods in Python classes. And these"
180.68,185.92000000000002,"are the idea behind these is just how can somebody, or somebody who's creating an object of this"
185.92000000000002,191.24,type manipulate the object? What are some ways to interface with this object? So our coordinate
191.24,195.88,"class, we, one of the more interesting things was to find a distance between a coordinate"
195.88,200.32,"and another coordinate. But some of the simpler things were, you know, to just, you know, get"
200.32,204.84,"the value of the x coordinate, the y coordinate, things like that. For our animal class that"
204.84,209.24,"we're implementing today, it's going to be a little bit more abstract. But one of those"
209.24,213.92000000000002,"simplest things is to just say, hey, tell me how long you've been alive. That's basically"
213.92000000000002,222.44,"just grabbing the value of the attribute, the h, right? So here we're defining our object,"
222.44,229.68,"sorry, our data object, right? The class keyword tells Python we're creating on your data type."
229.68,235.4,This is the name of our data type. So the type of this thing that we're creating is animal.
235.4,243.28,"In parentheses here, animal inherits, animals as parent is the generic Python object. And"
243.28,246.36,"later today's lecture, we're going to see what happens when we put something else in those"
246.36,251.52,"parentheses. So the, the parent of a class that we create is something other than just the"
251.52,257.36,generic Python object. And then the very first method that we always write in our new object
257.36,262.04,definition is the init method. This tells Python how do you create an object of this type?
262.52000000000004,268.40000000000003,A very basic information that Python needs to know. So the init method is a special
268.40000000000003,274.24,"dunder method, double underscore init, double underscore. And by now, you're familiar, the"
274.24,278.56,first parameter of every single method that we define inside a class is this thing called
278.56,289.0,"self. And remember, self is a variable, right? It's a variable name that allows us to talk"
289.0,294.04,about an object without having created one yet. Because all we're doing here is defining
294.04,299.8,"the class, right? We don't have actual objects created. And so this method here, the init method,"
299.8,304.28,"and all the other methods are run on an object of type animal, but we don't have that object yet."
305.16,312.84,So the first parameter will be that object in this abstract sort of way. And then you can put
312.84,318.44,"other parameters in that list. And so we say that when we create a new animal object, we're going"
318.44,327.16,"to initialize it by its age, so on some number. Within the init, what do we usually do? Well, we usually"
328.28,335.24,"initialize all the data attributes, also called instance variables. So here, how many data attributes do I"
335.24,344.44,"have for the animal class? Two, exactly. Yeah, two. The first one, self.age, right, is a data"
344.44,350.12,"attribute. And we know it's a data attribute because we have that self appearing again, right? If it"
350.12,356.68,"was just a variable name like age, or years, or time, or something like that, it would just be a regular"
356.68,362.04,"old variable. And as soon as that init method ended, that variable would go away. But the fact that"
362.04,368.76,"we've initialized this variable itself, dot, tells Python, hey, this is a variable that I want to"
368.76,375.4,persist for as long as this object exists in memory. So it's an instance variable. So self.age equals
375.4,381.96,"age will create this data attribute age, and assign it to the parameter passed in age. Now self"
381.96,387.88,name is also data attribute. It's just not being passed in the parameter list. And that's okay.
387.88,394.28,"Not everything has to be passed into the parameter list. So here, what we're effectively doing is saying"
394.28000000000003,399.32000000000005,"when we create a new animal object, we have to tell it the age, how long it's been alive for."
400.12,406.20000000000005,But then the name data attribute is always going to be none. So there's an absence of a value for
406.20000000000005,413.24,the name for every animal we create right off the bat. Okay. Everyone okay with piece over here?
416.84000000000003,420.84000000000003,"What's the purpose of defining this to be none? Well, later on, I'm going to add some methods that"
420.84000000000003,427.08000000000004,"allow you to give a name to an animal if you'd like. But again, this is a design choice that I made."
427.08000000000004,434.28000000000003,"So you, yeah, you might not make the same design choices. So that's the definition for my class,"
434.28000000000003,440.36,"right? Just these four lines of code. And then down here, we saw in the past couple of lectures,"
440.36,447.72,"how to create actual new objects, right? So this is where the actual actually happens, right?"
447.72,454.28000000000003,"So here, I'm creating a new animal object. A variable my animal is bound to that animal object,"
454.28000000000003,460.04,right? So that's my variable name. You can name it anything you want. And then you're telling Python
460.04,465.0,to create a new animal object simply by invoking the name of the class. And then passing in all the
465.0,471.48,"parameters that we're expecting here, except for self, right? Because self becomes this thing."
471.48,476.20000000000005,"Like if I were to draw a box around animal three, that is self. That is this object that I just created."
478.68,484.6,"Okay, so that's the init method. Last lecture, we saw some dunder methods. And I think I said,"
485.48,490.76000000000005,probably the second method you'd ever want to implement for a new class is this dunder STR method.
491.8,499.24,Now the dunder STR method tells Python how Python should print an object of type animal.
500.52000000000004,505.88000000000005,"Right? Because initially, right off the bat, if we didn't implement this dunder STR method,"
505.88,512.4399999999999,"Python would default to the STR method of the generic Python object, which just tells us the memory"
512.4399999999999,518.28,"location this object has been created at, which is not very useful. When we print an animal object,"
518.28,526.36,"and again, my design choice is to say I'm going to print animal colon, the name of that animal colon,"
526.36,532.44,"and the age of that animal. Again, my design choice, right? And remember the dunder STR method returns the"
532.44,540.2800000000001,string you want to print out. It doesn't print it out straight up. Everyone okay with that so far?
540.2800000000001,545.72,"Should be review. Okay. So then the other things that we want to include in our class, and this is"
545.72,553.4000000000001,"something that included no matter what the language you're working with, is these things called getters"
553.4000000000001,560.6,and setters. So getters are these two right here. Getters are basically very simple functions that
560.6,568.36,"return the values of the data attributes that this object has. This object just has two, right? An"
568.36,573.64,age and a name because they were defined using self dot age and self dot name. So here's a getter
573.64,579.8000000000001,"to just tell me the value of self dot age. So all it does is return self dot age, and name all it"
579.8000000000001,587.8000000000001,"does is return self dot name. Very, very simple. Setters, same idea, except that now we're allowing"
588.44,595.1600000000001,"someone using our class to set the values of these data attributes through these methods, right?"
595.1600000000001,601.0000000000001,So here all it's doing is taking in a parameter for the thing you want to change the age or the name
601.0000000000001,606.2800000000001,"to, right? And all it does is say, well, save self dot age is going to be equal to the thing you past"
606.2800000000001,614.7600000000001,"in. Okay. That's the age, so we're changing this to a different number. And then the set name is"
614.76,621.16,changing the name data attribute to a different string. And here I'm using this default parameter
621.16,628.28,"that we talked about way back in, when we talked about functions, right? So if you don't pass in an"
628.28,636.12,"actual string value, we'll default to the empty string. Okay. So let me show you how this works."
638.36,643.48,So this is my animal class exactly as in the slides. I've got my init str and my two getters and
643.48,650.12,"setters. And then I've got two animals being created here, right? So here's a print for animal"
650.12,655.72,"with age four. And here's a print of animal age six. So if I run these, it should print animal colon"
655.72,661.16,"none because I didn't set the name to anything for these two. And then their respective ages, right?"
661.88,668.6800000000001,"So this is using the str method for, uh, on a, and this is using the str method on b."
668.6800000000001,676.44,"Okay. Okay. And then we can access, of course, using dot notation, all of our data attributes."
676.44,682.6,So here I'm accessing the age directly. But since the getter get age just returns for me the
682.6,686.6800000000001,"value of that data attribute, these will actually print the same thing. So I'm just going to comment"
686.6800000000001,692.2800000000001,these out. So if I'm accessing age age through either the data attribute directly or through the
692.28,696.52,"getter method, it'll print for for both, right? Pretty, pretty straightforward."
698.8399999999999,704.52,And then we can do some things like this. So I can call the set name method. So here I'm passing an
704.52,711.4,"actual name for it. And then I can print the name or I can use the, the getter to print the name,"
711.4,718.28,"right? So if I run that, you'll see the name has now been changed for object A. And then if I run"
718.28,723.0799999999999,"the print method on A, then write a print's animal colon, the new name that I just said it to,"
723.0799999999999,729.8,"fluffy, and then the age has been unchanged. If I run set name without a parameter, it'll"
729.8,736.12,"revert to the default parameter for the name, which is the empty string. So the new name of my"
736.12,740.1999999999999,"animal A will just be an empty string. So it's just going to be colon with nothing in there, right?"
740.2800000000001,750.2800000000001,"So just empty, no space or anything, just nothing. Okay. Everyone all right so far. Hopefully a"
750.2800000000001,760.36,"little review. So we saw that we can actually grab the exact same value, right? For the age using,"
761.1600000000001,767.6400000000001,"by accessing the age data attribute directly, right? Using Don notation or our getter that we wrote."
768.6,777.96,"One of these is better than the other, in terms of style and in terms of good coding practices"
777.96,783.4,"and in terms of writing code that's easy to read, easy to modify, robust, things like that."
784.36,791.64,"The one that is better to use is the one that accesses the method, right? Both are using Don notation,"
791.64,800.1999999999999,"but the first one is actually accessing the internals of my class definition, right? We're in"
800.1999999999999,805.0,order to know the value of my data attribute as someone who's just using this code for an animal
805.0,811.3199999999999,class. I have to actually go in and read the init method to know these data attributes that are
811.3199999999999,815.64,"being initialized. I don't know about you, but I actually, let's take an example of a list,"
815.64,821.4,right? Something we've used a lot. Have you ever gone into the definition of the list class to see
821.48,827.24,"the data attributes that are being initialized? I haven't, right? All he's been doing is working with"
827.24,832.28,"methods that allow us to make changes to lists, to do operations on lists and things like that."
832.28,837.0,"So the internal workings of the list class is hidden from us, and that's just the way we like it,"
837.0,842.36,"right? I don't care how the list is actually implemented. And the same thing should happen here,"
842.36,850.12,right? I shouldn't care how I implement the animal class. I shouldn't care what instance variables
850.12,857.32,they're being they're using. So let me show you why. So if someone who's writing the animal class
857.32,863.72,"decides in the future that age was a strange variable name to use, and they decide to change that the"
864.6,870.84,"variable associated with how long this animal has been alive to to be years, right? So here,"
871.48,879.08,I've got self dot years equals age. That's the only change I've made to my animal class.
880.2,885.5600000000001,Right? So I've made the design decision to change this data attribute to be years. And then of
885.5600000000001,890.6,"course, since I'm making this class, I need to make sure all my getters and setters and everything"
890.6,897.88,"still works with this new data attribute. So my get age will return self dot years, right? I'm"
