Start Time,End Time,Text
0.0,18.6,"All right, let's get started."
18.6,24.92,"So today we're going to be starting a completely new set of topics, and we'll be talking about"
24.92,29.92,"these topics for the next four lectures, and it's a big topic."
29.92,35.400000000000006,The big idea we're trying to accomplish in these next four lectures is for us to start defining
35.400000000000006,39.24,our own object types.
39.24,46.44,And we'll be defining these object types through these things called Python classes.
46.44,53.64,So today's lecture will just define a really simple object type and then we'll build up
53.64,55.120000000000005,from there on.
55.120000000000005,61.60000000000001,"So let's take a step back and think about particular objects, like really specific objects that"
61.60000000000001,63.24000000000001,we've been working with.
63.24000000000001,69.2,"So for example, we've been working with probably the number 1,234, we've been working with"
69.2,76.56,"the float pi 3.14159, we've been working with sequences of characters like HLO with lists"
76.56,77.56,"of numbers, right?"
77.56,82.52000000000001,"So here's a list with those specific elements within it, and we've been working with dictionaries."
82.52,87.44,And here's a specific dictionary with these entries.
87.44,91.8,"Now every one of these things up here is an object, right?"
91.8,96.24,"We have it in our program, we can manipulate it, we can add it to other things, we can"
96.24,98.28,"index, we can do all these things."
98.28,102.6,"But every one of these objects is basically has a certain type, right?"
102.6,108.44,We talked about this back in lecture 1 when I introduced types of objects.
108.44,109.8,So what does that mean?
109.8,115.32,Well in that lecture I said that the type of an object basically tells us the kinds of
115.32,116.92,"things that we can do with it, right?"
116.92,120.64,So the things you can do with a number are going to be different than the kinds of things
120.64,121.75999999999999,you can do with strings.
121.75999999999999,126.4,And we've been seeing this since that lecture up until today.
126.4,129.4,Today we're going to see how we can create our own object types.
129.4,134.16,"So to do that we have to understand the following thing, and this is something I'll keep repeating"
134.16,135.16,today.
135.52,140.32,"Decide to create an object type, or every one of these objects for example, has been created"
140.32,142.92,"using some blueprint, right?"
142.92,145.88,And when you're creating these objects you need to think about two things.
145.88,150.64,"The first is what data will represent this object, and the second is what behaviors will"
150.64,152.32,this object have.
152.32,155.32,"Now the objects up here are pretty simple, right?"
155.32,160.64,"The kinds of data that represents this integer is, well there's no data really, it's just"
160.64,162.16,the number itself.
162.56,166.0,"It has some operations, some things that you can do with this integer."
166.0,171.68,Now the data that represents a list is going to be different than the data that represents
171.68,178.16,"an integer, because a list is kind of made up of a sequence of numbers or objects."
178.16,182.07999999999998,And then the data that makes up a dictionary is completely different than the data that
182.07999999999998,186.32,"makes up the list, because a dictionary has entries, where each entry has a key and a value"
186.32,189.68,"pair, and then you have a bunch of these entries, right?"
189.68,193.48000000000002,"So the data representing each one of these objects is different, and we're going to decide"
193.48000000000002,197.28,what data represents the new objects that we want to create.
197.28,201.28,"And of course this is something we've known from the first lecture, the kinds of ways that"
201.28,205.08,we can interact with these objects is also different amongst all these different object
205.08,206.56,"types, right?"
206.56,213.16,"So in terms of terminology, when we create an actual object that we want to manipulate, we"
213.16,215.88,call it an instance of a type.
215.88,223.16,"So this specific number, 1,234, is an instance of an integer, and this specific sequence of"
223.16,229.48,"characters, lowercase h, l, l, o, is an instance of a string, all right."
229.48,235.07999999999998,So the idea of object-oriented programming is basically that everything in Python is an
235.07999999999998,239.68,"object, and this we've talked about when we were introducing functions, we treated functions"
239.68,241.51999999999998,like objects.
241.52,246.92000000000002,"And what that means is that we can create new objects that have some type, so we actually"
246.92000000000002,252.12,"create these very specific objects that we can manipulate, and we can also destroy the"
252.12,253.12,"objects, right?"
253.12,255.72,"So you can create them, manipulate them, and destroy them as you will."
255.72,258.92,But each one of these objects has a specific type.
258.92,263.48,So let's talk a little bit more about the data abstraction.
263.48,269.16,"So once you have an object that you'd like to create, so think of anything in the world,"
269.16,275.64000000000004,"some something, the two things that you need to think about are what is going to be the"
275.64000000000004,279.84000000000003,"way that you represent the object in terms of data, right?"
279.84000000000003,283.20000000000005,And the other thing is what are the behaviors of this object?
283.20000000000005,289.12,How can other programmers or other objects interact with this thing that you're creating?
289.12,294.12,"So when we're creating our own object type, we have to think about these data abstractions,"
294.12,295.12,okay?
295.12,297.12,So let's take a more sort of real life example.
297.12,302.48,So let's say I have these two very specific cars that actually exist in the real world.
302.48,306.56,"So we can actually drive these cars around, we can manipulate them, right?"
306.56,310.72,"They have already been created, they are actual objects, right?"
310.72,316.12,"Well behind the scenes, these objects were created using some blueprint, right?"
316.12,322.4,"This blueprint is not an actual tangible thing, it's basically some abstract notion of how"
322.40000000000003,327.36,"to create those specific objects, those specific cars."
327.36,332.64000000000004,"So as we're thinking about creating our own object types, we have to think about design"
332.64000000000004,334.24,"decisions, right?"
334.24,338.28000000000003,If I want to create a blueprint for a car that somebody can then use to create an actual
338.28000000000003,342.52000000000004,"car in real life, how do I abstract the car?"
342.52000000000004,346.72,"And as we're creating these objects ourselves, we get to make these design decisions, which"
346.72,348.08000000000004,is pretty cool.
348.08000000000004,352.16,"So if I were creating this car, right, the blueprint for a car, I would say, well, I'm going"
352.16,356.0,"to use maybe the length of the car, the width of the car, and the height of the car, and"
356.0,357.52000000000004,the color of the car.
357.52000000000004,362.56,And those four data attributes will represent a car object.
362.56,364.56,"But of course that's my design decision, right?"
364.56,368.96000000000004,If you are more familiar with cars or if you wanted to get into a more detailed description
368.96000000000004,375.56,"or representation, you would also have a number for how many horsepower it has, how many"
375.56,380.08000000000004,"doors it has, maybe how many people could fit, you know, other things like that."
380.08,387.03999999999996,"But a very simple data abstraction for a car is linked with height and color, right?"
387.03999999999996,391.44,"So that's data abstract, so what data represents this object you're trying to create?"
391.44,392.76,Now how about the interface?
392.76,397.76,"Well, in terms of the interface, we decide what are some ways that programmers can interact"
397.76,401.59999999999997,with the object or other objects can interact with this object.
401.59999999999997,407.79999999999995,"So we could say that we could let the users change the color of the car, right?"
407.8,413.44,"We could say that we can let the car, you know, make a noise, so honk the horn, could"
413.44,417.8,"be maybe one thing, one function that this car could do."
417.8,422.0,"And if we say honk the horn, then maybe you would print something to the screen, right?"
422.0,423.0,Something like that.
423.0,426.88,"And then we can have the car drive from point A to point B, or we could have the car, you"
426.88,432.64,"know, go in a circle, you could have the car crash on other car, and all of these behaviors"
432.64,439.71999999999997,will are part of this interface for this particular car.
439.71999999999997,444.08,"But we're going to define them such that any car that we create from here on, any actual"
444.08,449.4,"object that we create, we'll have all of these behaviors and all of these data attributes."
449.4,453.44,"So an example a little closer to home is the list, right?"
453.44,456.03999999999996,We've been working with lists so far.
456.03999999999996,461.52,"So behind the scenes, somebody created the data type list, right?"
461.52,466.15999999999997,"So there's some code in Python that basically defines the data that makes up the list, the"
466.15999999999997,469.84,"data attributes, how is a list described?"
469.84,475.12,"And the behaviors, the procedures, the functions that a list can do, right?"
475.12,479.71999999999997,"So in terms of data attributes, well, there's many design decisions that, you know, whoever"
479.71999999999997,483.28,"decided to create this list class could have done, how could they have represented the"
483.28,484.28,list?
484.28,488.91999999999996,"Well, they could have said, I'm going to allocate sort of a continuous block of memory,"
488.92,492.04,"where and your elements will go in that order, right?"
492.04,497.36,"From the smallest memory of value to the biggest memory value, that's one design decision."
497.36,501.88,"Another one could be that instead of allocating sort of a continuous block of memory, you could"
