Start Time,End Time,Text
0.0,23.64,"All right, so welcome to the first lecture of 600L. That's our new number. My name"
23.64,29.16,"is Anna Bell. That's two separate names. First name, Anna, last name, Bell. Super confusing."
29.16,34.24,"But I've been a lecture here in the CS department for probably almost 10 years now, and I've been"
34.24,38.72,doing the intro course for a while. I'm really happy to be teaching this full semester
38.72,47.84,"version of 600A. So today, what we're going to do is go over a little bit of course administrative"
47.84,52.72,"information, and then we'll dive right into just some thoughts about computers, high level"
52.72,57.36,"how they work, and then we'll start going into some Python basics. So we're going to get"
57.36,63.28,coding right away. So I highly encourage you since you're in this class to download the lecture
63.28,70.28,"slides beforehand, to take notes, and run code when I do. Some of the lectures are interactive,"
70.28,75.6,so and we'll have breaks. So there'll be a place where you can take a break to actually do some
75.6,80.56,"coding, and that's important. I call them you try breaks. That's important to make sure that you're"
80.56,87.16,"actually practicing what we are learning right at this time. The main idea for lectures is yes,"
87.16,92.84,"I will do some teaching, but there will also be opportunities for questions, and for you guys to"
92.84,97.24,try some programming right on the spot. Even if you don't finish writing a program that we start
97.24,102.03999999999999,"talking about, I will finish it, and we can all kind of talk about it together, and I'll kind of show"
102.03999999999999,108.84,you some pitfalls and things like that. There will be lots of opportunities to practice in this class
108.84,115.08,"through at various degrees of granularity, and then there's also lots of opportunities that I have"
115.64,120.92,in the handouts to do extra practice at home and through a bunch of different resources as well.
122.28,128.04,The reason why I stress participation and practice is because part of the reason you're here is
128.04,133.24,"you want to learn how to program, right? You don't know how to program yet, and programming is"
133.24,138.44,"actually a skill, right? It's like math or reading. It's something that you have to practice. You can't"
138.44,143.8,"just watch me type in a bunch of lines of code, and then when it comes time for to do the quiz,"
143.8,149.96,you automatically know how to do it. You need to do it often more and more so that it becomes
149.96,156.12,"sort of second nature, right? So the three big things you'll get out of this class are knowledge of"
156.12,162.28,"concepts. Obviously, we're going to learn some computer science ideas, programming skill, and problem"
162.28,169.88000000000002,solving skills. Lectures and exams basically help you with your knowledge or test your knowledge
169.96,176.84,"of concepts and help you get knowledge of concepts. Finger exercises give you the programming skills,"
176.84,182.28,"and the problem sets help you with problem solving. Basically, if you're given an English version"
183.32,189.64,"of a problem in English, how do you go from that to thinking about what computer science concepts"
189.64,195.56,"can I apply? And then after that, how do I take those computer science concepts and actually do"
195.64000000000001,203.4,the programming? So what are some topics we'll be covering? We will be at the core of it learning
203.4,209.72,"computational thinking. So in the future, when you encounter a problem, you can, your first thought"
209.72,215.08,shouldn't be how do I kind of mathematically solve this or how do I brute force manually solve this
215.08,220.52,"problem. How can I apply computation to help me solve this problem? And throughout these lectures,"
220.52,225.48000000000002,you're going to see some examples of us applying computation to a problem you might have already
225.48000000000002,232.76000000000002,"seen and maybe solved mathematically, which is pretty cool. Obviously, to get to that, we're going"
232.76000000000002,237.48000000000002,"to learn the Python programming language. Once we get the basics, we're going to see how we can"
237.48000000000002,242.44,start to structure our code to look a little bit better so we don't just have a bunch of code
242.44,249.64000000000001,dumped in a file. We're going to start to organize our code and see how we can make a neat readable
249.64000000000001,257.64,"and modular. And then towards the, not in this lecture, but in a couple lectures and as a theme"
257.64,262.68,"throughout this class, we're going to look at some algorithms. They're not super complicated,"
262.68,267.8,but they're kind of the base algorithms for a bunch of algorithms you might see in the future
267.8,273.24,"if you decide to take more CS classes. Lastly, towards the end of the class, we're going to see algorithmic"
273.24,278.04,"complexity, which basically means we're going to start asking or trying to answer the question,"
278.76000000000005,283.72,"how do we know the programs we write are efficient? We can write programs, but how do we know that"
283.72,288.92,they're fast and how do we know that they don't take up all the memory in the computer? So
288.92,294.36,"things like that, comparing different algorithms that do the same thing against each other."
295.8,301.32000000000005,"So if there's no questions, again, as I said, a bunch of this information is already in the handout,"
301.32,309.64,"plus more. We can begin. Okay, so let's start by talking about knowledge."
311.32,317.32,"Declarative knowledge is a statement of fact, and a lot of us, probably in math and in the past,"
317.32,322.28,"have worked with declarative knowledge, but this is not how computer science is, not how this class"
322.28,327.96,"works. In computer science, what we do is we work with imperative knowledge, which is basically a"
327.96,334.12,"recipe, how to do something, and when we're programming, all we're doing is writing a recipe for"
334.12,341.64,the computer to do something. That's it. So here's a numerical example. The first statement is a
341.64,347.96,"declarative statement, right? The square root of a number x is y such that y times y is equal to x."
347.96,354.52,"There are many possible values for x and y that this statement can be true, right? But if we gave"
354.52,359.71999999999997,"that statement to a computer, it wouldn't know what to do with it. What we need to do is tell the"
359.71999999999997,365.88,"computer how to find the square root of a number, and then tell us what the square root of that number is."
365.88,372.28,"And so the computer that needs a recipe. So the recipe, a really simple one, for finding the square"
372.28,378.03999999999996,"root of a number is steps one, two, three. So what we do is, let's say we want to find the square"
378.04,385.48,"root of 16, we obviously know it's four, but the computer doesn't. And so we give it an initial guess,"
385.48,393.8,"let's say the guess is three. How do we go from there? So the steps we follow, step one, if three times"
393.8,401.16,"three nine is close enough to 16, we can stop. It's not really close enough for me. So let's keep going,"
402.04,407.88,"step two. Otherwise, so we're going to make a new guess by averaging g, which is our original"
407.88,414.44,"guess three, and x over g, which is 16 over three, right? 16 was the square we wanted to find."
414.44,422.2,"So our next guess is 4.17. Okay, using the new guess, repeat the process until we are close enough."
422.2,428.44,"So we go back to step one, that's the first part of the process. We find guess squared, 4.17 squared"
428.44,436.04,"is 17.36. So now we say, is that close enough? Not really, it's not, it's 17, it's not really"
436.04,445.64000000000004,"even close 16. So let's do it again. We make a new guess by averaging 4.17 and 16 divided by 4.17,"
445.64000000000004,453.32000000000005,"right? That gives us our new guess, 4.3035. Okay, next step, right, using the new guess, we repeat"
453.32000000000005,464.12,"the process. So 4.3035 squared is 16.277, 0.0277. Is that close enough to x? Yeah, I could be happy with"
464.12,469.16,"this. I could stop there, because we're within sort of plus minus 1. So I'm okay with that,"
469.16,474.36,but if we wanted to be within plus or minus 1 times 10 to the negative like 6 or 7 or something
474.36,481.96,"like that, then we would continue the process. So really what we had there is an algorithm, right?"
481.96,486.52,"It's a sequence of steps, step one, step two, step three. There's some sort of flow of control,"
487.08,492.44,"right? We had a place where we said if this is, you know, if the guess is close enough, then"
492.44,497.96,"you know, we can stop. Otherwise, we do something else. We had another flow of control where we said"
497.96,502.2,"repeat this thing, right? So we're kind of not going linearly, but we're changing the flow."
503.24,508.28,"And then lastly is a way to stop, right? We don't want the algorithm to go on forever. We would like"
508.28,513.32,"to stop at some point, and the stopping point, I was kind of vague about it, but it could be,"
513.32,521.24,"you know, when we were within plus or minus 1 of the actual answer. And so, right, recipes,"
522.44,528.2,"are basically algorithms, right? My grandmother was basically teaching algorithms when she would"
528.2,537.24,"teach me to make a cake, right? She didn't call it that, but she was, really. And so even recipes"
537.24,541.6400000000001,"have that same structure. There's a sequence of steps. There's a flow of control, like if you don't"
541.6400000000001,547.24,"have a user's substitute or repeat this, you know, repeat sticking a toothpick to see if it comes out"
547.24,553.0,"clean every minute or something like that. And then there's a way to stop, right? When the toothpick"
553.0,558.44,"comes out clean, you take it out of the oven and you eat it. And so computers are machines that"
558.44,564.44,"execute these algorithms. They're actually dumb, right? Computers are not very smart. They don't"
564.44,569.64,make decisions on their own. They just follow these sequences of steps that we told them to do.
